ITeos Therapeutics Price to Free Cash Flow Ratio Historical Data,ITeos Therapeutics Price to Free Cash Flow Ratio Historical Data,ITeos Therapeutics Price to Free Cash Flow Ratio Historical Data,ITeos Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.89,,0.0
2024-12-31,7.68,$-2.47,0.0
2024-09-30,10.21,$-2.86,0.0
2024-06-30,14.84,$-3.09,0.0
2024-03-31,13.64,$-3.17,0.0
2023-12-31,10.95,$-2.98,0.0
2023-09-30,10.95,$-3.27,0.0
2023-06-30,13.24,$-3.07,0.0
2023-03-31,13.61,$-3.08,0.0
2022-12-31,19.53,$-2.97,0.0
2022-09-30,19.05,$-3.93,0.0
2022-06-30,20.6,$13.04,1.58
2022-03-31,32.18,$13.34,2.41
2021-12-31,46.56,$13.55,3.44
2021-09-30,27.0,$14.36,1.88
2021-06-30,25.65,$-2.65,0.0
