MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data,MarketAxess Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,217.82,,24.97
2024-12-31,226.04,$8.72,25.91
2024-09-30,255.49,$7.75,32.99
2024-06-30,199.34,$7.22,27.63
2024-03-31,217.21,$7.03,30.9
2023-12-31,289.15,$7.47,38.7
2023-09-30,210.24,$7.15,29.4
2023-06-30,256.56,$7.40,34.65
2023-03-31,383.09,$7.13,53.74
2022-12-31,272.49,$6.31,43.22
2022-09-30,216.75,$6.75,32.1
2022-06-30,248.77,$6.13,40.59
2022-03-31,329.7,$6.09,54.12
2021-12-31,397.82,$6.08,65.48
2021-09-30,406.28,$8.22,49.43
2021-06-30,447.09,$5.33,83.88
2021-03-31,479.49,$5.61,85.51
2020-12-31,548.8,$9.41,58.33
2020-09-30,462.7,$5.77,80.15
2020-06-30,480.71,$8.89,54.09
2020-03-31,318.77,$8.02,39.73
2019-12-31,362.74,$6.09,59.54
2019-09-30,312.89,$5.52,56.65
2019-06-30,306.63,$5.51,55.64
2019-03-31,234.33,$4.92,47.61
2018-12-31,200.77,$4.66,43.1
2018-09-30,169.24,$4.20,40.32
2018-06-30,187.18,$3.93,47.66
2018-03-31,205.28,$3.81,53.86
2017-12-31,190.06,$3.75,50.74
2017-09-30,173.5,$4.12,42.13
2017-06-30,188.78,$4.17,45.22
2017-03-31,175.69,$4.05,43.4
2016-12-31,137.44,$1.89,72.8
2016-09-30,154.64,$1.68,91.96
2016-06-30,135.57,$1.21,111.8
2016-03-31,116.15,$1.17,98.95
2015-12-31,103.58,$2.90,35.73
2015-09-30,86.17,$2.73,31.58
2015-06-30,85.76,$2.67,32.12
2015-03-31,76.45,$2.53,30.22
2014-12-31,65.97,$2.51,26.26
2014-09-30,56.77,$1.91,29.69
2014-06-30,49.47,$2.00,24.77
2014-03-31,54.03,$1.72,31.32
2013-12-31,60.9,$1.78,34.14
2013-09-30,54.45,$2.08,26.12
2013-06-30,42.35,$1.80,23.47
2013-03-31,33.69,$1.80,18.69
2012-12-31,31.78,$1.88,16.87
2012-09-30,27.25,$1.62,16.87
2012-06-30,22.89,$1.66,13.8
2012-03-31,31.93,$1.77,18.0
2011-12-31,25.7,$1.47,17.47
2011-09-30,22.14,$1.58,14.0
2011-06-30,21.25,$1.42,15.01
2011-03-31,20.43,$1.54,13.25
2010-12-31,17.5,$1.46,11.98
2010-09-30,14.22,$1.33,10.72
2010-06-30,11.5,$1.31,8.79
2010-03-31,13.06,$0.96,13.65
2009-12-31,11.49,$0.96,11.97
