Agenus Price to Free Cash Flow Ratio Historical Data,Agenus Price to Free Cash Flow Ratio Historical Data,Agenus Price to Free Cash Flow Ratio Historical Data,Agenus Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.67,,0.0
2024-09-30,5.48,$-8.72,0.0
2024-06-30,16.75,$-9.46,0.0
2024-03-31,11.6,$-10.97,0.0
2023-12-31,16.56,$-12.90,0.0
2023-09-30,22.6,$-13.94,0.0
2023-06-30,32.0,$-13.88,0.0
2023-03-31,30.4,$-14.05,0.0
2022-12-31,48.0,$-14.65,0.0
2022-09-30,41.0,$-13.17,0.0
2022-06-30,38.8,$-0.39,0.0
2022-03-31,49.2,$-1.70,0.0
2021-12-31,64.4,$-1.57,0.0
2021-09-30,105.0,$-4.24,0.0
2021-06-30,109.8,$-16.86,0.0
2021-03-31,54.4,$-15.97,0.0
2020-12-31,63.6,$-16.53,0.0
2020-09-30,80.0,$-16.46,0.0
2020-06-30,78.6,$-17.83,0.0
2020-03-31,49.0,$-18.41,0.0
2019-12-31,81.4,$-3.46,0.0
2019-09-30,51.6,$-5.84,0.0
2019-06-30,60.0,$-4.77,0.0
2019-03-31,59.4,$-6.07,0.0
2018-12-31,47.6,$-24.32,0.0
2018-09-30,42.8,$-22.72,0.0
2018-06-30,45.4,$-24.87,0.0
2018-03-31,94.2,$-24.66,0.0
2017-12-31,65.2,$-19.76,0.0
2017-09-30,88.2,$-18.86,0.0
2017-06-30,78.2,$-20.08,0.0
2017-03-31,75.4,$-19.16,0.0
2016-12-31,82.4,$-21.24,0.0
2016-09-30,143.6,$-22.31,0.0
2016-06-30,81.0,$-20.01,0.0
2016-03-31,83.2,$-19.20,0.0
2015-12-31,90.8,$-12.98,0.0
2015-09-30,92.0,$-11.75,0.0
2015-06-30,172.6,$-10.13,0.0
2015-03-31,102.6,$-8.78,0.0
2014-12-31,79.4,$-13.74,0.0
2014-09-30,62.2,$-13.14,0.0
2014-06-30,64.4,$-12.90,0.0
2014-03-31,63.4,$-14.34,0.0
2013-12-31,52.8,$-13.67,0.0
2013-09-30,55.4,$-12.36,0.0
2013-06-30,75.8,$-13.37,0.0
2013-03-31,77.8,$-12.73,0.0
2012-12-31,82.0,$0.77,106.56
2012-09-30,92.2,$-0.98,0.0
2012-06-30,104.8,$-0.35,0.0
2012-03-31,131.9,$-1.30,0.0
2011-12-31,40.0,$-16.36,0.0
2011-09-30,56.4,$-14.18,0.0
2011-06-30,93.6,$-16.05,0.0
2011-03-31,109.2,$-15.60,0.0
2010-12-31,121.2,$-18.42,0.0
2010-09-30,118.8,$-24.38,0.0
2010-06-30,97.32,$-23.76,0.0
2010-03-31,87.2,$-27.52,0.0
2009-12-31,76.8,$-37.03,0.0
