SURO Capital Price to Free Cash Flow Ratio Historical Data,SURO Capital Price to Free Cash Flow Ratio Historical Data,SURO Capital Price to Free Cash Flow Ratio Historical Data,SURO Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.88,,59.33
2024-12-31,5.88,$0.10,59.33
2024-09-30,4.04,$-1.16,0.0
2024-06-30,4.01,$1.69,2.37
2024-03-31,4.55,$0.70,6.49
2023-12-31,3.94,$0.09,43.34
2023-09-30,3.62,$1.93,1.88
2023-06-30,3.2,$-3.40,0.0
2023-03-31,3.62,$-3.35,0.0
2022-12-31,3.8,$-3.68,0.0
2022-09-30,3.87,$-1.85,0.0
2022-06-30,6.4,$1.38,4.64
2022-03-31,8.63,$1.45,5.96
2021-12-31,12.8,$6.86,1.86
2021-09-30,10.47,$4.92,2.13
2021-06-30,9.44,$4.64,2.03
2021-03-31,8.02,$3.88,2.06
2020-12-31,7.47,$-1.08,0.0
2020-09-30,5.76,$-0.43,0.0
2020-06-30,4.45,$-0.45,0.0
2020-03-31,3.08,$2.06,1.5
2019-12-31,3.44,$1.52,2.27
2019-09-30,3.13,$0.65,4.79
2019-06-30,3.21,$1.22,2.64
2019-03-31,3.8,$-0.14,0.0
2018-12-31,2.62,$0.46,5.64
2018-09-30,3.47,$3.62,0.96
2018-06-30,3.44,$3.68,0.93
2018-03-31,3.78,$3.36,1.13
2017-12-31,2.73,$2.58,1.06
2017-09-30,2.71,$-0.44,0.0
2017-06-30,2.18,$-0.02,0.0
2017-03-31,2.25,$-0.09,0.0
2016-12-31,2.52,$-0.18,0.0
2016-09-30,2.37,$-0.26,0.0
2016-06-30,2.5,$0.99,2.53
2016-03-31,2.79,$2.12,1.31
2015-12-31,3.31,$2.81,1.18
2015-09-30,2.77,$1.93,1.44
2015-06-30,3.64,$0.98,3.71
2015-03-31,3.46,$0.25,14.02
2014-12-31,3.05,$-1.13,0.0
2014-09-30,3.53,$-0.90,0.0
2014-06-30,3.73,$-3.96,0.0
2014-03-31,3.58,$-4.23,0.0
2013-12-31,4.27,$-3.37,0.0
2013-09-30,5.23,$-5.24,0.0
2013-06-30,2.77,$-4.68,0.0
2013-03-31,2.92,$-9.81,0.0
2012-12-31,2.98,$-11.80,0.0
2012-09-30,3.05,$-18.65,0.0
2012-06-30,3.28,$-20.29,0.0
2012-03-31,6.6,$-24.36,0.0
