Sun Country Airlines Holdings Price to Free Cash Flow Ratio Historical Data,Sun Country Airlines Holdings Price to Free Cash Flow Ratio Historical Data,Sun Country Airlines Holdings Price to Free Cash Flow Ratio Historical Data,Sun Country Airlines Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.91,,5.28
2024-12-31,14.58,$2.45,5.96
2024-09-30,11.21,$1.75,6.39
2024-06-30,12.56,$0.96,13.05
2024-03-31,15.09,$0.31,48.68
2023-12-31,15.73,$-0.67,0.0
2023-09-30,14.84,$-1.05,0.0
2023-06-30,22.48,$-0.84,0.0
2023-03-31,20.5,$-1.40,0.0
2022-12-31,15.86,$-0.95,0.0
2022-09-30,13.61,$-1.11,0.0
2022-06-30,18.34,$-1.50,0.0
2022-03-31,26.18,$0.83,31.68
2021-12-31,27.25,$0.60,45.28
