Inspired Entertainment Price to Free Cash Flow Ratio Historical Data,Inspired Entertainment Price to Free Cash Flow Ratio Historical Data,Inspired Entertainment Price to Free Cash Flow Ratio Historical Data,Inspired Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.1,,0.0
2024-09-30,9.27,$-0.35,0.0
2024-06-30,9.15,$-1.20,0.0
2024-03-31,9.86,$-0.34,0.0
2023-12-31,9.88,$-0.08,0.0
2023-09-30,11.96,$-0.08,0.0
2023-06-30,14.71,$0.56,26.17
2023-03-31,12.79,$0.05,235.11
2022-12-31,12.67,$-0.25,0.0
2022-09-30,8.83,$-0.05,0.0
2022-06-30,8.61,$0.16,53.71
2022-03-31,12.3,$-0.61,0.0
2021-12-31,12.96,$-0.72,0.0
2021-09-30,11.7,$0.17,67.05
2021-06-30,12.75,$0.15,87.21
2021-03-31,9.29,$0.71,13.08
2020-12-31,6.58,$1.02,6.48
2020-09-30,2.96,$0.29,10.3
2020-06-30,2.9,$-0.54,0.0
2020-03-31,3.38,$0.00,0.0
2019-12-31,6.75,$0.15,46.17
2019-09-30,7.19,$0.07,99.45
2019-06-30,8.44,$0.33,25.26
2019-03-31,6.67,$-0.11,0.0
2018-12-31,4.8,$-0.28,0.0
2018-09-30,6.1,$-0.42,0.0
2018-06-30,6.25,$0.72,8.7
2018-03-31,5.5,$1.24,4.43
2017-12-31,9.8,$-0.34,0.0
2017-09-30,13.25,$-1.32,0.0
