Blade Air Mobility Price to Free Cash Flow Ratio Historical Data,Blade Air Mobility Price to Free Cash Flow Ratio Historical Data,Blade Air Mobility Price to Free Cash Flow Ratio Historical Data,Blade Air Mobility Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.01,,0.0
2024-12-31,4.25,$-0.43,0.0
2024-09-30,2.94,$-0.50,0.0
2024-06-30,3.48,$-0.42,0.0
2024-03-31,2.85,$-0.44,0.0
2023-12-31,3.53,$-0.47,0.0
2023-09-30,2.59,$-0.44,0.0
2023-06-30,3.94,$-0.61,0.0
2023-03-31,3.38,$-0.63,0.0
2022-12-31,3.58,$-0.53,0.0
2022-09-30,4.03,$-0.69,0.0
2022-06-30,4.46,$-0.61,0.0
2022-03-31,8.49,$-0.64,0.0
2021-12-31,8.83,$-0.52,0.0
2021-09-30,10.4,$1.04,10.04
2021-06-30,10.5,$0.12,89.44
2021-03-31,10.29,$-0.10,0.0
2020-12-31,11.08,$-0.10,0.0
2020-09-30,10.05,$-1.36,0.0
