Azenta Price to Free Cash Flow Ratio Historical Data,Azenta Price to Free Cash Flow Ratio Historical Data,Azenta Price to Free Cash Flow Ratio Historical Data,Azenta Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,37.79,,55.39
2024-12-31,50.0,$0.68,73.29
2024-09-30,48.44,$0.24,199.75
2024-06-30,52.62,$0.54,97.61
2024-03-31,60.28,$0.68,88.27
2023-12-31,65.14,$0.11,615.69
2023-09-30,50.19,$-0.49,0.0
2023-06-30,46.68,$-0.88,0.0
2023-03-31,44.62,$-6.75,0.0
2022-12-31,58.22,$-7.72,0.0
2022-09-30,42.86,$-7.20,0.0
2022-06-30,72.1,$-7.02,0.0
2022-03-31,82.88,$-0.74,0.0
2021-12-31,103.11,$0.88,117.01
2021-09-30,102.26,$1.30,78.53
2021-06-30,95.08,$1.75,54.37
2021-03-31,81.4,$1.51,53.99
2020-12-31,67.55,$0.14,493.8
2020-09-30,45.99,$-0.03,0.0
2020-06-30,43.89,$-0.25,0.0
2020-03-31,30.19,$-0.08,0.0
2019-12-31,41.42,$1.11,37.39
2019-09-30,36.46,$0.93,39.37
2019-06-30,38.05,$0.98,38.81
2019-03-31,28.73,$0.78,36.61
2018-12-31,25.56,$0.89,28.64
2018-09-30,34.08,$0.87,39.39
2018-06-30,31.65,$0.88,35.79
2018-03-31,26.19,$0.90,29.24
2017-12-31,22.98,$0.98,23.41
2017-09-30,29.14,$1.19,24.58
2017-06-30,20.74,$1.11,18.7
2017-03-31,21.34,$1.06,20.17
2016-12-31,16.19,$0.86,18.76
2016-09-30,12.83,$0.43,29.78
2016-06-30,10.49,$0.27,38.47
2016-03-31,9.64,$0.30,32.15
2015-12-31,9.8,$0.16,60.3
2015-09-30,10.65,$0.40,26.47
2015-06-30,10.32,$0.39,26.2
2015-03-31,10.39,$0.24,42.49
2014-12-31,11.29,$0.62,18.1
2014-09-30,9.23,$0.71,12.94
2014-06-30,9.38,$1.08,8.69
2014-03-31,9.44,$1.21,7.83
2013-12-31,8.99,$1.03,8.76
2013-09-30,7.92,$0.98,8.05
2013-06-30,8.2,$0.47,17.46
2013-03-31,8.51,$0.42,20.28
2012-12-31,6.68,$0.44,15.24
2012-09-30,6.6,$0.42,15.83
2012-06-30,7.67,$0.61,12.53
2012-03-31,9.94,$0.96,10.32
2011-12-31,8.22,$1.05,7.85
2011-09-30,6.47,$1.25,5.18
2011-06-30,8.55,$1.17,7.33
2011-03-31,10.81,$0.80,13.45
2010-12-31,7.14,$0.61,11.65
2010-09-30,5.28,$0.38,13.9
2010-06-30,6.09,$0.17,36.88
2010-03-31,6.94,$-0.22,0.0
2009-12-31,6.76,$-1.06,0.0
