Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data,Grab Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.58,,22.84
2024-12-31,4.72,$0.20,23.54
2024-09-30,3.8,$0.12,31.61
2024-06-30,3.55,$0.13,27.91
2024-03-31,3.14,$0.05,66.24
2023-12-31,3.37,$0.01,306.36
2023-09-30,3.54,$0.01,280.95
2023-06-30,3.43,$-0.09,0.0
2023-03-31,3.01,$-0.14,0.0
2022-12-31,3.22,$-0.22,0.0
2022-09-30,2.63,$-2.07,0.0
