Safety Shot Price to Free Cash Flow Ratio Historical Data,Safety Shot Price to Free Cash Flow Ratio Historical Data,Safety Shot Price to Free Cash Flow Ratio Historical Data,Safety Shot Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.47,,0.0
2024-09-30,1.22,$-0.48,0.0
2024-06-30,1.16,$-0.49,0.0
2024-03-31,2.39,$-0.44,0.0
2023-12-31,3.51,$-0.35,0.0
2023-09-30,1.5,$-0.19,0.0
2023-06-30,0.42,$-0.21,0.0
2023-03-31,0.45,$-0.22,0.0
2022-12-31,0.77,$-0.29,0.0
2022-09-30,0.78,$-0.48,0.0
2022-06-30,0.72,$-0.34,0.0
2022-03-31,1.1,$-0.46,0.0
2021-12-31,0.89,$-0.46,0.0
2021-09-30,1.41,$-0.64,0.0
