National Vision Holdings Price to Free Cash Flow Ratio Historical Data,National Vision Holdings Price to Free Cash Flow Ratio Historical Data,National Vision Holdings Price to Free Cash Flow Ratio Historical Data,National Vision Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.82,,26.42
2024-12-31,10.42,$0.49,21.47
2024-09-30,10.91,$0.34,32.48
2024-06-30,13.09,$0.46,28.73
2024-03-31,22.16,$0.29,76.78
2023-12-31,20.93,$0.74,28.24
2023-09-30,16.18,$0.54,30.04
2023-06-30,24.29,$0.41,59.23
2023-03-31,18.84,$0.37,50.51
2022-12-31,38.76,$0.07,550.57
2022-09-30,32.65,$0.33,98.37
2022-06-30,27.5,$0.53,51.85
2022-03-31,43.57,$1.05,41.33
2021-12-31,47.99,$1.70,28.23
2021-09-30,56.77,$1.78,31.92
2021-06-30,51.13,$2.91,17.55
2021-03-31,43.83,$1.87,23.45
2020-12-31,45.29,$1.91,23.71
2020-09-30,38.24,$1.57,24.42
2020-06-30,30.52,$0.52,58.3
2020-03-31,19.42,$0.97,20.06
2019-12-31,32.43,$0.78,41.55
2019-09-30,24.07,$0.72,33.46
2019-06-30,30.73,$0.45,68.59
2019-03-31,31.43,$0.02,1540.69
2018-12-31,28.17,$0.03,1043.33
2018-09-30,45.14,$0.42,107.96
