Lake Shore Bancorp Price to Free Cash Flow Ratio Historical Data,Lake Shore Bancorp Price to Free Cash Flow Ratio Historical Data,Lake Shore Bancorp Price to Free Cash Flow Ratio Historical Data,Lake Shore Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.8,,34.85
2024-12-31,13.74,$0.45,30.31
2024-09-30,13.31,$0.11,123.38
2024-06-30,12.17,$0.55,21.98
2024-03-31,11.11,$0.77,14.42
2023-12-31,11.22,$0.99,11.3
2023-09-30,9.73,$1.03,9.47
2023-06-30,10.32,$1.19,8.64
2023-03-31,9.67,$1.32,7.3
2022-12-31,11.56,$1.33,8.72
2022-09-30,12.45,$1.36,9.14
2022-06-30,13.06,$1.46,8.97
2022-03-31,13.81,$1.35,10.26
2021-12-31,13.61,$1.35,10.11
2021-09-30,13.5,$1.19,11.39
2021-06-30,13.36,$0.96,13.96
2021-03-31,13.32,$0.90,14.76
2020-12-31,11.46,$0.87,13.11
2020-09-30,11.69,$0.90,12.96
2020-06-30,10.57,$1.02,10.32
2020-03-31,8.98,$0.99,9.06
2019-12-31,12.98,$0.84,15.5
2019-09-30,12.25,$0.97,12.59
2019-06-30,12.48,$0.85,14.68
2019-03-31,13.19,$0.85,15.48
2018-12-31,12.48,$0.87,14.34
2018-09-30,13.58,$0.79,17.1
2018-06-30,14.04,$0.74,18.87
2018-03-31,13.65,$0.58,23.66
2017-12-31,13.87,$0.71,19.52
2017-09-30,12.87,$0.54,23.92
2017-06-30,12.61,$0.59,21.32
2017-03-31,12.4,$0.69,17.97
2016-12-31,12.89,$0.64,20.29
2016-09-30,10.67,$0.66,16.17
2016-06-30,10.22,$0.67,15.21
2016-03-31,10.37,$0.72,14.31
2015-12-31,10.4,$0.76,13.67
2015-09-30,10.43,$0.76,13.79
2015-06-30,10.32,$0.65,15.98
2015-03-31,10.51,$0.68,15.55
2014-12-31,10.31,$0.64,16.01
2014-09-30,9.53,$0.71,13.47
2014-06-30,9.36,$0.91,10.35
2014-03-31,9.27,$0.99,9.34
2013-12-31,9.07,$0.83,10.98
2013-09-30,8.44,$0.79,10.72
2013-06-30,8.6,$0.74,11.61
2013-03-31,8.1,$0.64,12.63
2012-12-31,7.47,$0.86,8.65
2012-09-30,7.52,$0.90,8.34
2012-06-30,7.37,$0.87,8.5
2012-03-31,7.13,$0.93,7.66
2011-12-31,6.76,$1.01,6.68
2011-09-30,6.68,$1.08,6.2
2011-06-30,7.16,$0.98,7.33
2011-03-31,7.08,$0.80,8.86
2010-12-31,6.36,$0.59,10.84
2010-09-30,5.49,$0.32,17.27
2010-06-30,5.36,$0.37,14.58
2010-03-31,5.52,$1.00,5.51
2009-12-31,5.25,$0.43,12.15
