Mobix Labs Price to Free Cash Flow Ratio Historical Data,Mobix Labs Price to Free Cash Flow Ratio Historical Data,Mobix Labs Price to Free Cash Flow Ratio Historical Data,Mobix Labs Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.86,,0.0
2024-12-31,1.7,$-0.50,0.0
2024-09-30,1.06,$-0.63,0.0
2024-06-30,1.64,$0.24,6.97
2024-03-31,2.01,$0.05,41.27
2023-12-31,4.02,$-0.33,0.0
2023-09-30,11.1,$-0.17,0.0
2023-06-30,11.0,$-0.98,0.0
2023-03-31,11.0,$-0.78,0.0
2022-12-31,10.21,$-0.21,0.0
2022-09-30,10.08,$-0.21,0.0
2022-06-30,9.98,$-0.65,0.0
