Catalyst Bancorp Price to Free Cash Flow Ratio Historical Data,Catalyst Bancorp Price to Free Cash Flow Ratio Historical Data,Catalyst Bancorp Price to Free Cash Flow Ratio Historical Data,Catalyst Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.56,,15.17
2024-09-30,11.4,$0.76,14.96
2024-06-30,11.58,$0.65,17.78
2024-03-31,11.85,$0.50,23.66
2023-12-31,10.84,$0.42,25.9
2023-09-30,12.06,$0.29,41.44
2023-06-30,11.03,$0.26,41.72
2023-03-31,11.5,$0.11,103.51
2022-12-31,12.7,$0.11,118.58
2022-09-30,12.4,$0.03,429.07
