Blue Foundry Bancorp Price to Free Cash Flow Ratio Historical Data,Blue Foundry Bancorp Price to Free Cash Flow Ratio Historical Data,Blue Foundry Bancorp Price to Free Cash Flow Ratio Historical Data,Blue Foundry Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,9.32,,0.0
2024-09-30,10.25,$-0.05,0.0
2024-06-30,9.07,$0.08,107.08
2024-03-31,9.36,$-0.72,0.0
2023-12-31,9.67,$-0.74,0.0
2023-09-30,8.37,$-0.37,0.0
2023-06-30,10.11,$-0.22,0.0
2023-03-31,9.52,$-0.30,0.0
2022-12-31,12.85,$-0.10,0.0
2022-09-30,11.15,$-1.61,0.0
2022-06-30,11.99,$-2.33,0.0
