Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data,Amkor Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.42,,13.79
2024-12-31,25.69,$1.41,18.24
2024-09-30,30.05,$1.78,16.85
2024-06-30,39.19,$2.09,18.76
2024-03-31,31.5,$2.10,14.96
2023-12-31,32.43,$2.14,15.15
2023-09-30,21.97,$1.65,13.32
2023-06-30,28.84,$0.86,33.56
2023-03-31,25.15,$1.07,23.53
2022-12-31,23.11,$0.79,29.38
2022-09-30,16.38,$0.71,23.02
2022-06-30,16.25,$1.15,14.14
2022-03-31,20.77,$1.16,17.84
2021-12-31,23.65,$1.40,16.86
2021-09-30,23.75,$0.83,28.68
2021-06-30,22.5,$1.21,18.64
2021-03-31,22.5,$1.01,22.31
2020-12-31,14.29,$0.91,15.67
2020-09-30,10.58,$1.24,8.53
2020-06-30,11.63,$1.28,9.06
2020-03-31,7.36,$1.23,5.98
2019-12-31,12.28,$0.42,29.05
2019-09-30,8.6,$0.55,15.65
2019-06-30,7.05,$0.86,8.24
2019-03-31,8.07,$0.21,38.26
2018-12-31,6.2,$0.50,12.47
2018-09-30,6.98,$0.11,63.42
2018-06-30,8.12,$-0.14,0.0
2018-03-31,9.57,$0.46,20.86
2017-12-31,9.5,$0.87,10.9
2017-09-30,9.97,$0.98,10.15
2017-06-30,9.23,$1.12,8.25
2017-03-31,10.95,$0.85,12.9
2016-12-31,9.97,$0.53,18.98
2016-09-30,9.18,$-0.02,0.0
2016-06-30,5.43,$-0.28,0.0
2016-03-31,5.57,$-0.29,0.0
2015-12-31,5.74,$0.23,25.25
2015-09-30,4.23,$0.23,18.7
2015-06-30,5.65,$-0.14,0.0
2015-03-31,8.35,$-0.16,0.0
2014-12-31,6.71,$-0.27,0.0
2014-09-30,7.95,$-0.07,0.0
2014-06-30,10.56,$0.09,114.7
2014-03-31,6.48,$0.19,34.37
2013-12-31,5.79,$0.08,73.69
2013-09-30,4.05,$-0.20,0.0
2013-06-30,3.98,$-0.03,0.0
2013-03-31,3.78,$-0.28,0.0
2012-12-31,4.01,$-0.58,0.0
2012-09-30,4.17,$-0.39,0.0
2012-06-30,4.61,$-0.38,0.0
2012-03-31,5.81,$-0.04,0.0
2011-12-31,4.12,$0.24,17.09
2011-09-30,4.12,$0.27,15.49
2011-06-30,5.83,$0.27,21.81
2011-03-31,6.37,$0.25,25.79
2010-12-31,7.0,$0.35,19.78
2010-09-30,6.21,$0.34,18.22
2010-06-30,5.21,$0.48,10.75
2010-03-31,6.69,$0.89,7.55
2009-12-31,6.77,$0.18,38.18
