CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data,CMS Energy Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,73.69,,0.0
2024-12-31,66.65,$-2.17,0.0
2024-09-30,70.1,$-1.14,0.0
2024-06-30,58.62,$-0.88,0.0
2024-03-31,58.94,$-0.63,0.0
2023-12-31,56.2,$-0.34,0.0
2023-09-30,50.95,$-1.19,0.0
2023-06-30,55.9,$-3.36,0.0
2023-03-31,57.94,$-4.43,0.0
2022-12-31,59.31,$-5.24,0.0
2022-09-30,54.11,$-4.72,0.0
2022-06-30,62.29,$-2.68,0.0
2022-03-31,64.1,$-1.61,0.0
2021-12-31,59.19,$-0.89,0.0
2021-09-30,53.96,$-1.56,0.0
2021-06-30,53.0,$-1.41,0.0
2021-03-31,54.56,$-1.12,0.0
2020-12-31,53.96,$-3.62,0.0
2020-09-30,53.97,$-2.38,0.0
2020-06-30,51.0,$-2.34,0.0
2020-03-31,50.91,$-2.69,0.0
2019-12-31,54.13,$-1.08,0.0
2019-09-30,54.75,$-1.90,0.0
2019-06-30,49.26,$-2.49,0.0
2019-03-31,46.92,$-1.85,0.0
2018-12-31,41.64,$-1.31,0.0
2018-09-30,40.79,$0.15,272.31
2018-06-30,39.07,$0.74,53.02
2018-03-31,37.14,$0.15,244.17
2017-12-31,38.47,$0.14,269.98
2017-09-30,37.42,$-0.25,0.0
2017-06-30,37.1,$0.16,232.28
2017-03-31,35.62,$0.04,888.31
2016-12-31,32.88,$-0.15,0.0
2016-09-30,32.94,$-0.81,0.0
2016-06-30,35.7,$-0.83,0.0
2016-03-31,32.8,$-0.41,0.0
2015-12-31,27.66,$0.27,100.63
2015-09-30,26.86,$1.39,19.3
2015-06-30,24.01,$0.78,30.86
2015-03-31,26.1,$0.02,1285.53
2014-12-31,25.77,$-0.35,0.0
2014-09-30,21.82,$-1.04,0.0
2014-06-30,22.71,$-0.54,0.0
2014-03-31,21.16,$-0.19,0.0
2013-12-31,19.15,$0.35,54.24
2013-09-30,18.66,$0.58,32.04
2013-06-30,19.08,$0.57,33.36
2013-03-31,19.46,$0.44,44.34
2012-12-31,16.81,$0.05,322.67
2012-09-30,16.08,$-0.80,0.0
2012-06-30,15.89,$-0.66,0.0
2012-03-31,14.72,$-0.12,0.0
2011-12-31,14.61,$1.09,13.41
2011-09-30,12.96,$1.19,10.89
2011-06-30,12.75,$1.15,11.14
2011-03-31,12.59,$1.14,11.09
2010-12-31,11.79,$0.55,21.61
2010-09-30,11.3,$1.57,7.18
2010-06-30,9.1,$0.95,9.58
2010-03-31,9.51,$0.19,49.07
2009-12-31,9.54,$0.13,75.63
