Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data,Southern Copper Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.22,,22.81
2024-12-31,91.13,$4.35,20.95
2024-09-30,114.23,$3.27,34.95
2024-06-30,105.17,$2.77,37.95
2024-03-31,102.91,$2.68,38.46
2023-12-31,82.33,$3.32,24.82
2023-09-30,71.02,$3.99,17.82
2023-06-30,66.87,$3.43,19.49
2023-03-31,70.19,$2.82,24.87
2022-12-31,54.85,$2.40,22.87
2022-09-30,40.35,$2.68,15.05
2022-06-30,44.14,$3.47,12.73
2022-03-31,65.73,$4.44,14.82
2021-12-31,52.65,$4.35,12.1
2021-09-30,47.11,$4.12,11.42
2021-06-30,53.25,$3.72,14.33
2021-03-31,55.71,$3.03,18.38
2020-12-31,53.0,$2.81,18.89
2020-09-30,36.51,$2.19,16.69
2020-06-30,31.79,$1.86,17.09
2020-03-31,22.37,$1.77,12.66
2019-12-31,33.34,$1.54,21.62
2019-09-30,26.5,$1.27,20.89
2019-06-30,30.16,$1.33,22.67
2019-03-31,30.47,$1.23,24.86
2018-12-31,23.31,$1.43,16.35
2018-09-30,32.36,$1.72,18.85
2018-06-30,34.85,$1.43,24.45
2018-03-31,40.05,$1.36,29.44
2017-12-31,34.85,$1.22,28.56
2017-09-30,29.04,$0.74,39.36
2017-06-30,25.2,$0.49,51.03
2017-03-31,26.03,$0.27,97.78
2016-12-31,23.11,$-0.25,0.0
2016-09-30,19.0,$-0.56,0.0
2016-06-30,19.45,$-0.67,0.0
2016-03-31,19.94,$-0.51,0.0
2015-12-31,18.78,$-0.34,0.0
2015-09-30,19.18,$-0.26,0.0
2015-06-30,21.03,$-0.16,0.0
2015-03-31,20.81,$-0.25,0.0
2014-12-31,20.04,$-0.21,0.0
2014-09-30,20.98,$-0.00,0.0
2014-06-30,21.41,$-0.06,0.0
2014-03-31,20.46,$-0.13,0.0
2013-12-31,20.1,$0.18,109.83
2013-09-30,18.99,$0.01,1636.97
2013-06-30,19.17,$0.55,34.99
2013-03-31,25.92,$0.82,31.56
2012-12-31,25.96,$1.13,23.01
2012-09-30,21.86,$1.56,14.02
2012-06-30,19.9,$1.90,10.49
2012-03-31,19.69,$1.84,10.72
2011-12-31,18.63,$1.71,10.88
2011-09-30,15.1,$1.97,7.68
2011-06-30,19.47,$1.60,12.13
2011-03-31,23.49,$1.99,11.81
2010-12-31,28.08,$1.75,16.03
2010-09-30,20.04,$1.94,10.35
2010-06-30,14.96,$1.76,8.5
2010-03-31,17.58,$1.22,14.42
2009-12-31,17.75,$0.65,27.24
