Preformed Line Products Price to Free Cash Flow Ratio Historical Data,Preformed Line Products Price to Free Cash Flow Ratio Historical Data,Preformed Line Products Price to Free Cash Flow Ratio Historical Data,Preformed Line Products Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,148.54,,13.06
2024-12-31,127.79,$11.38,11.23
2024-09-30,127.87,$9.39,13.61
2024-06-30,124.13,$15.26,8.13
2024-03-31,128.05,$12.58,10.18
2023-12-31,133.0,$15.00,8.87
2023-09-30,161.54,$13.08,12.35
2023-06-30,154.91,$6.87,22.54
2023-03-31,126.9,$3.22,39.46
2022-12-31,82.21,$-2.26,0.0
2022-09-30,70.23,$-1.79,0.0
2022-06-30,60.53,$-1.68,0.0
2022-03-31,62.02,$-0.92,0.0
2021-12-31,63.28,$3.09,20.48
2021-09-30,63.41,$5.99,10.59
2021-06-30,72.12,$7.44,9.7
2021-03-31,66.64,$9.32,7.15
2020-12-31,66.15,$5.54,11.95
2020-09-30,46.95,$1.67,28.07
2020-06-30,48.0,$0.25,189.2
2020-03-31,47.64,$-1.86,0.0
2019-12-31,57.46,$-0.43,0.0
2019-09-30,51.81,$2.47,20.98
2019-06-30,52.5,$1.04,50.51
2019-03-31,49.84,$3.03,16.44
2018-12-31,50.92,$2.67,19.06
2018-09-30,65.79,$1.67,39.41
2018-06-30,83.11,$5.34,15.56
2018-03-31,60.8,$4.43,13.73
2017-12-31,66.16,$4.43,14.93
2017-09-30,62.49,$3.09,20.21
2017-06-30,42.98,$1.60,26.86
2017-03-31,48.07,$0.33,144.23
2016-12-31,53.36,$0.25,209.51
2016-09-30,38.59,$1.44,26.88
2016-06-30,36.79,$-0.56,0.0
2016-03-31,33.1,$1.33,24.9
2015-12-31,37.95,$1.94,19.57
2015-09-30,33.33,$0.57,58.06
2015-06-30,33.65,$2.26,14.9
2015-03-31,37.39,$2.66,14.08
2014-12-31,48.27,$1.44,33.59
2014-09-30,46.45,$1.60,29.04
2014-06-30,47.21,$-0.28,0.0
2014-03-31,59.9,$0.10,630.53
2013-12-31,63.75,$0.19,336.06
2013-09-30,62.51,$1.31,47.64
2013-06-30,57.47,$3.66,15.69
2013-03-31,60.46,$4.36,13.85
2012-12-31,51.34,$5.46,9.4
2012-09-30,46.63,$3.25,14.34
2012-06-30,49.54,$2.62,18.88
2012-03-31,55.83,$0.49,113.59
2011-12-31,50.7,$-0.26,0.0
2011-09-30,38.79,$2.01,19.33
2011-06-30,60.03,$2.38,25.24
2011-03-31,58.17,$2.77,20.99
2010-12-31,49.07,$3.22,15.25
2010-09-30,29.14,$2.27,12.86
2010-06-30,23.22,$2.22,10.45
2010-03-31,31.48,$2.69,11.7
2009-12-31,35.95,$3.50,10.28
