TriplePoint Venture Growth BDC Price to Free Cash Flow Ratio Historical Data,TriplePoint Venture Growth BDC Price to Free Cash Flow Ratio Historical Data,TriplePoint Venture Growth BDC Price to Free Cash Flow Ratio Historical Data,TriplePoint Venture Growth BDC Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.13,,1.82
2024-12-31,7.38,$3.91,1.89
2024-09-30,6.8,$3.86,1.76
2024-06-30,7.42,$5.63,1.32
2024-03-31,8.39,$4.39,1.91
2023-12-31,9.22,$2.97,3.1
2023-09-30,8.55,$1.90,4.5
2023-06-30,9.29,$-2.55,0.0
2023-03-31,9.21,$-5.77,0.0
2022-12-31,7.67,$-3.09,0.0
2022-09-30,7.66,$-5.42,0.0
2022-06-30,8.74,$-5.69,0.0
2022-03-31,11.65,$-3.10,0.0
2021-12-31,11.73,$-4.68,0.0
2021-09-30,10.14,$-1.50,0.0
2021-06-30,9.5,$3.17,3.0
2021-03-31,8.84,$4.67,1.89
2020-12-31,7.79,$2.08,3.74
2020-09-30,6.37,$-3.60,0.0
2020-06-30,5.75,$-7.14,0.0
2020-03-31,3.1,$-9.27,0.0
2019-12-31,7.38,$-7.55,0.0
2019-09-30,8.34,$-3.63,0.0
2019-06-30,7.05,$-1.78,0.0
2019-03-31,6.64,$-0.42,0.0
2018-12-31,5.11,$-0.87,0.0
2018-09-30,6.32,$-3.61,0.0
2018-06-30,5.63,$-7.15,0.0
2018-03-31,5.26,$-2.75,0.0
2017-12-31,5.42,$1.54,3.53
2017-09-30,5.58,$1.53,3.65
2017-06-30,5.4,$4.95,1.09
2017-03-31,5.51,$-1.38,0.0
2016-12-31,4.53,$-5.69,0.0
2016-09-30,3.96,$-2.73,0.0
2016-06-30,3.84,$-3.78,0.0
2016-03-31,3.68,$-1.31,0.0
2015-12-31,4.06,$0.01,0.0
2015-09-30,3.34,$0.15,22.33
2015-06-30,4.3,$-2.67,0.0
2015-03-31,4.39,$-14.88,0.0
2014-12-31,4.51,$-24.16,0.0
