Poseida Therapeutics Price to Free Cash Flow Ratio Historical Data,Poseida Therapeutics Price to Free Cash Flow Ratio Historical Data,Poseida Therapeutics Price to Free Cash Flow Ratio Historical Data,Poseida Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-12-20,9.45,,0.0
2024-09-30,2.86,$-0.21,0.0
2024-06-30,2.92,$0.02,172.78
2024-03-31,3.19,$-0.77,0.0
2023-12-31,3.36,$-1.06,0.0
2023-09-30,2.38,$-0.72,0.0
2023-06-30,1.76,$0.21,8.28
2023-03-31,3.08,$-0.04,0.0
2022-12-31,5.3,$-0.43,0.0
2022-09-30,3.53,$-0.30,0.0
2022-06-30,2.58,$-2.01,0.0
2022-03-31,4.48,$-1.88,0.0
2021-12-31,6.81,$-1.69,0.0
2021-09-30,7.29,$-3.66,0.0
2021-06-30,10.02,$-4.78,0.0
