American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data,American States Water Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,75.62,,0.0
2024-12-31,77.72,$-0.88,0.0
2024-09-30,82.84,$-2.15,0.0
2024-06-30,71.77,$-2.38,0.0
2024-03-31,71.05,$-2.16,0.0
2023-12-31,78.66,$-3.26,0.0
2023-09-30,76.55,$-2.59,0.0
2023-06-30,84.23,$-2.69,0.0
2023-03-31,85.68,$-2.53,0.0
2022-12-31,88.84,$-1.31,0.0
2022-09-30,74.51,$-0.98,0.0
2022-06-30,77.57,$-0.37,0.0
2022-03-31,84.32,$-0.37,0.0
2021-12-31,97.56,$-0.78,0.0
2021-09-30,80.34,$-0.70,0.0
2021-06-30,74.44,$-0.73,0.0
2021-03-31,70.45,$-0.07,0.0
2020-12-31,73.77,$-0.22,0.0
2020-09-30,69.23,$-0.41,0.0
2020-06-30,72.33,$-0.40,0.0
2020-03-31,74.89,$-1.13,0.0
2019-12-31,79.11,$-0.94,0.0
2019-09-30,81.76,$-1.01,0.0
2019-06-30,68.21,$-0.88,0.0
2019-03-31,64.39,$-0.17,0.0
2018-12-31,60.31,$0.28,216.54
2018-09-30,54.76,$0.28,197.84
2018-06-30,50.96,$0.22,230.08
2018-03-31,47.09,$1.82,25.86
2017-12-31,51.14,$1.78,28.66
2017-09-30,43.29,$1.79,24.14
2017-06-30,41.46,$1.30,32.0
2017-03-31,38.53,$-0.74,0.0
2016-12-31,39.41,$-0.90,0.0
2016-09-30,34.43,$-1.10,0.0
2016-06-30,37.48,$-1.01,0.0
2016-03-31,33.47,$-0.39,0.0
2015-12-31,35.51,$0.21,169.56
2015-09-30,34.85,$1.33,26.11
2015-06-30,31.29,$1.68,18.65
2015-03-31,33.19,$2.36,14.06
2014-12-31,31.17,$2.33,13.35
2014-09-30,25.03,$2.22,11.26
2014-06-30,27.15,$2.60,10.45
2014-03-31,26.2,$1.19,22.1
2013-12-31,23.14,$0.99,23.46
2013-09-30,22.04,$0.20,107.62
2013-06-30,21.32,$-0.23,0.0
2013-03-31,22.72,$0.89,25.44
2012-12-31,18.81,$0.87,21.51
2012-09-30,17.27,$1.16,14.84
2012-06-30,15.27,$1.03,14.86
2012-03-31,13.83,$0.22,63.0
2011-12-31,13.26,$0.00,0.0
2011-09-30,12.79,$-0.13,0.0
2011-06-30,12.96,$-0.53,0.0
2011-03-31,13.3,$-0.67,0.0
2010-12-31,12.68,$-0.65,0.0
2010-09-30,13.08,$-0.54,0.0
2010-06-30,12.02,$-0.43,0.0
2010-03-31,12.5,$-0.09,0.0
2009-12-31,12.65,$-0.13,0.0
