Ovid Therapeutics Price to Free Cash Flow Ratio Historical Data,Ovid Therapeutics Price to Free Cash Flow Ratio Historical Data,Ovid Therapeutics Price to Free Cash Flow Ratio Historical Data,Ovid Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.43,,0.0
2024-12-31,0.93,$-0.79,0.0
2024-09-30,1.18,$-0.82,0.0
2024-06-30,0.77,$-0.75,0.0
2024-03-31,3.05,$-0.71,0.0
2023-12-31,3.22,$-0.65,0.0
2023-09-30,3.84,$-0.61,0.0
2023-06-30,3.28,$-0.65,0.0
2023-03-31,2.58,$-0.69,0.0
2022-12-31,1.86,$-0.80,0.0
2022-09-30,1.84,$-0.85,0.0
2022-06-30,2.15,$-0.84,0.0
2022-03-31,3.14,$-0.96,0.0
2021-12-31,3.21,$1.74,1.85
2021-09-30,3.36,$1.66,2.02
2021-06-30,3.91,$1.84,2.12
2021-03-31,4.02,$1.87,2.15
2020-12-31,2.31,$-0.88,0.0
2020-09-30,5.74,$-1.04,0.0
2020-06-30,7.37,$-1.31,0.0
2020-03-31,2.98,$-1.22,0.0
2019-12-31,4.15,$-1.30,0.0
2019-09-30,3.24,$-1.33,0.0
2019-06-30,1.85,$-1.49,0.0
2019-03-31,1.77,$-1.75,0.0
2018-12-31,2.42,$-1.85,0.0
2018-09-30,5.67,$-2.12,0.0
2018-06-30,7.8,$-1.90,0.0
2018-03-31,7.07,$-2.15,0.0
