TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data,TransUnion Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,85.26,,32.46
2024-12-31,92.71,$2.63,35.29
2024-09-30,104.59,$2.47,42.39
2024-06-30,74.0,$2.08,35.55
2024-03-31,79.52,$1.63,48.75
2023-12-31,68.38,$1.73,39.51
2023-09-30,71.31,$1.79,39.79
2023-06-30,77.7,$1.99,39.08
2023-03-31,61.55,$0.30,207.74
2022-12-31,56.12,$-0.01,0.0
2022-09-30,58.73,$-0.23,0.0
2022-06-30,78.87,$0.31,253.19
2022-03-31,101.78,$2.24,45.43
2021-12-31,116.67,$3.03,38.55
2021-09-30,110.41,$3.46,31.92
2021-06-30,107.87,$3.00,35.97
2021-03-31,88.33,$3.13,28.18
2020-12-31,97.3,$3.03,32.13
2020-09-30,82.43,$2.95,27.93
2020-06-30,85.21,$3.47,24.52
2020-03-31,64.73,$3.07,21.06
2019-12-31,83.65,$3.07,27.26
2019-09-30,79.18,$2.78,28.48
2019-06-30,71.7,$2.24,31.98
2019-03-31,65.12,$2.01,32.45
2018-12-31,55.27,$1.97,28.09
2018-09-30,71.51,$1.91,37.41
2018-06-30,69.56,$1.98,35.2
2018-03-31,55.07,$1.92,28.63
2017-12-31,53.3,$1.74,30.63
2017-09-30,45.83,$1.76,26.04
2017-06-30,42.0,$1.53,27.44
2017-03-31,37.19,$1.59,23.42
2016-12-31,30.0,$1.44,20.83
2016-09-30,33.46,$1.49,22.48
2016-06-30,32.43,$1.25,25.97
2016-03-31,26.78,$1.12,23.92
