Sensei Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Sensei Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Sensei Biotherapeutics Price to Free Cash Flow Ratio Historical Data,Sensei Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.46,,0.0
2024-09-30,0.6,$-0.89,0.0
2024-06-30,0.62,$-0.99,0.0
2024-03-31,1.05,$-1.07,0.0
2023-12-31,0.69,$-1.15,0.0
2023-09-30,0.8,$-1.33,0.0
2023-06-30,1.14,$-1.24,0.0
2023-03-31,1.5,$-1.31,0.0
2022-12-31,1.49,$-1.28,0.0
2022-09-30,1.55,$-1.35,0.0
2022-06-30,2.27,$-1.31,0.0
2022-03-31,2.31,$-0.91,0.0
2021-12-31,5.8,$-1.15,0.0
