ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data,ManpowerGroup Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,59.07,,11.05
2024-12-31,57.72,$5.34,10.8
2024-09-30,71.77,$2.23,32.19
2024-06-30,68.14,$5.75,11.84
2024-03-31,75.79,$5.37,14.11
2023-12-31,77.58,$5.36,14.48
2023-09-30,70.19,$5.71,12.3
2023-06-30,76.01,$5.67,13.4
2023-03-31,77.38,$7.80,9.92
2022-12-31,78.02,$6.59,11.85
2022-09-30,59.73,$8.71,6.86
2022-06-30,70.55,$7.03,10.04
2022-03-31,85.42,$9.14,9.35
2021-12-31,88.52,$10.51,8.42
2021-09-30,97.11,$9.89,9.82
2021-06-30,106.64,$8.51,12.53
2021-03-31,87.78,$14.75,5.95
2020-12-31,80.04,$15.35,5.22
2020-09-30,64.22,$16.73,3.84
2020-06-30,60.21,$18.37,3.28
2020-03-31,45.69,$14.04,3.26
2019-12-31,83.72,$12.63,6.63
2019-09-30,71.79,$10.01,7.17
2019-06-30,82.32,$8.37,9.84
2019-03-31,69.58,$8.91,7.81
2018-12-31,54.53,$6.43,8.48
2018-09-30,71.44,$5.30,13.48
2018-06-30,71.52,$5.55,12.89
2018-03-31,94.6,$1.49,63.51
2017-12-31,103.65,$5.10,20.33
2017-09-30,96.14,$6.29,15.29
2017-06-30,91.11,$6.27,14.52
2017-03-31,82.93,$8.29,10.0
2016-12-31,71.85,$7.67,9.37
2016-09-30,57.84,$8.07,7.16
2016-06-30,51.5,$9.06,5.68
2016-03-31,64.47,$7.95,8.11
2015-12-31,66.75,$6.10,10.94
2015-09-30,64.28,$5.52,11.65
2015-06-30,70.16,$3.86,18.16
2015-03-31,66.99,$3.63,18.43
2014-12-31,53.01,$3.18,16.66
2014-09-30,54.13,$4.32,12.53
2014-06-30,65.51,$5.18,12.64
2014-03-31,60.51,$5.08,11.91
2013-12-31,65.9,$4.42,14.9
2013-09-30,55.51,$5.06,10.98
2013-06-30,41.82,$2.98,14.03
2013-03-31,42.94,$2.83,15.16
2012-12-31,32.13,$3.29,9.77
2012-09-30,27.55,$0.74,37.19
2012-06-30,27.44,$1.81,15.18
2012-03-31,35.04,$1.64,21.39
2011-12-31,26.44,$0.11,251.58
2011-09-30,24.6,$1.34,18.35
2011-06-30,39.25,$0.09,439.55
2011-03-31,45.7,$0.19,244.0
2010-12-31,45.61,$1.59,28.75
2010-09-30,37.7,$-1.21,0.0
2010-06-30,31.18,$-0.84,0.0
2010-03-31,40.9,$1.16,35.27
2009-12-31,39.08,$4.89,7.99
