"LAZYDAYS HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","LAZYDAYS HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","LAZYDAYS HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data","LAZYDAYS HOLDINGS, INC Price to Free Cash Flow Ratio Historical Data"
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,0.0
2024-09-30,1.5,$-1.55,0.0
2024-06-30,2.54,$-0.79,0.0
2024-03-31,4.03,$-1.08,0.0
2023-12-31,7.05,$-9.62,0.0
2023-09-30,7.6,$-8.51,0.0
2023-06-30,11.56,$-7.76,0.0
2023-03-31,11.67,$-11.07,0.0
2022-12-31,11.94,$-8.74,0.0
2022-09-30,13.5,$-8.69,0.0
2022-06-30,11.78,$-10.18,0.0
2022-03-31,20.18,$-3.79,0.0
2021-12-31,21.54,$-1.43,0.0
2021-09-30,21.34,$-2.70,0.0
2021-06-30,22.0,$1.88,11.72
2021-03-31,17.81,$4.54,3.92
2020-12-31,16.25,$5.38,3.02
2020-09-30,12.68,$8.99,1.41
2020-06-30,8.71,$5.65,1.54
2020-03-31,2.06,$1.57,1.31
2019-12-31,4.1,$2.26,1.82
2019-09-30,4.76,$3.39,1.4
2019-06-30,5.0,$3.19,1.57
2019-03-31,4.74,$1.15,4.12
2018-12-31,5.4,$-1.00,0.0
