AbCellera Biologics Price to Free Cash Flow Ratio Historical Data,AbCellera Biologics Price to Free Cash Flow Ratio Historical Data,AbCellera Biologics Price to Free Cash Flow Ratio Historical Data,AbCellera Biologics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.38,,0.0
2024-12-31,2.93,$-0.64,0.0
2024-09-30,2.6,$-0.67,0.0
2024-06-30,2.96,$-0.58,0.0
2024-03-31,4.53,$-0.44,0.0
2023-12-31,5.71,$-0.42,0.0
2023-09-30,4.6,$-0.24,0.0
2023-06-30,6.46,$-0.72,0.0
2023-03-31,7.54,$0.18,42.79
2022-12-31,10.13,$0.66,15.43
2022-09-30,9.89,$0.42,23.58
2022-06-30,10.65,$0.90,11.81
2022-03-31,9.75,$0.53,18.42
2021-12-31,14.3,$0.58,24.45
2021-09-30,20.04,$0.81,24.73
