SWK Holdings Price to Free Cash Flow Ratio Historical Data,SWK Holdings Price to Free Cash Flow Ratio Historical Data,SWK Holdings Price to Free Cash Flow Ratio Historical Data,SWK Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.5,,10.14
2024-09-30,17.29,$1.73,10.02
2024-06-30,16.99,$1.51,11.24
2024-03-31,17.42,$1.44,12.13
2023-12-31,17.53,$1.13,15.47
2023-09-30,15.75,$0.92,17.04
2023-06-30,16.74,$0.76,22.13
2023-03-31,17.86,$0.33,53.36
2022-12-31,17.64,$0.61,28.74
2022-09-30,17.0,$1.26,13.52
2022-06-30,17.47,$1.40,12.44
2022-03-31,16.88,$2.60,6.49
2021-12-31,19.63,$2.59,7.58
2021-09-30,18.17,$2.39,7.61
2021-06-30,17.55,$2.36,7.45
2021-03-31,14.54,$1.25,11.62
2020-12-31,14.39,$1.19,12.07
