Nevro Price to Free Cash Flow Ratio Historical Data,Nevro Price to Free Cash Flow Ratio Historical Data,Nevro Price to Free Cash Flow Ratio Historical Data,Nevro Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.78,,0.0
2024-12-31,3.72,$-0.79,0.0
2024-09-30,5.59,$-1.53,0.0
2024-06-30,8.42,$-1.77,0.0
2024-03-31,14.44,$-1.95,0.0
2023-12-31,21.52,$-1.87,0.0
2023-09-30,19.22,$-1.97,0.0
2023-06-30,25.42,$0.38,66.35
2023-03-31,36.15,$0.44,81.82
2022-12-31,39.6,$0.48,82.11
2022-09-30,46.6,$0.40,117.77
2022-06-30,43.83,$-2.29,0.0
2022-03-31,72.33,$-2.14,0.0
2021-12-31,81.07,$-1.56,0.0
2021-09-30,116.38,$-0.80,0.0
2021-06-30,165.79,$0.04,4492.95
2021-03-31,139.5,$-0.23,0.0
2020-12-31,173.1,$-0.14,0.0
2020-09-30,139.3,$-0.90,0.0
2020-06-30,119.47,$-1.32,0.0
2020-03-31,99.98,$-1.20,0.0
2019-12-31,117.54,$-1.74,0.0
2019-09-30,85.97,$-1.10,0.0
2019-06-30,64.83,$-1.21,0.0
2019-03-31,62.51,$-0.82,0.0
2018-12-31,38.89,$-0.46,0.0
2018-09-30,57.0,$-0.76,0.0
2018-06-30,79.85,$-0.37,0.0
2018-03-31,86.67,$-0.51,0.0
2017-12-31,69.04,$-0.63,0.0
2017-09-30,90.88,$-1.07,0.0
2017-06-30,74.43,$-1.32,0.0
2017-03-31,93.7,$-1.56,0.0
2016-12-31,72.66,$-2.17,0.0
2016-09-30,104.39,$-2.89,0.0
2016-06-30,73.76,$-3.80,0.0
2016-03-31,56.26,$-4.39,0.0
2015-12-31,67.51,$-3.97,0.0
2015-09-30,46.39,$-9.82,0.0
