Delcath Systems Price to Free Cash Flow Ratio Historical Data,Delcath Systems Price to Free Cash Flow Ratio Historical Data,Delcath Systems Price to Free Cash Flow Ratio Historical Data,Delcath Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.0,,0.0
2024-12-31,12.04,$-0.67,0.0
2024-09-30,9.03,$-1.19,0.0
2024-06-30,8.37,$-1.31,0.0
2024-03-31,4.77,$-1.95,0.0
2023-12-31,4.16,$-1.93,0.0
2023-09-30,4.05,$-2.20,0.0
2023-06-30,5.83,$-2.42,0.0
2023-03-31,5.75,$-2.42,0.0
2022-12-31,3.6,$-2.84,0.0
2022-09-30,3.2,$-2.91,0.0
2022-06-30,3.99,$-2.96,0.0
2022-03-31,6.4,$-3.27,0.0
2021-12-31,7.75,$-3.18,0.0
2021-09-30,10.44,$-6.04,0.0
2021-06-30,12.61,$-4.07,0.0
2021-03-31,12.42,$65.23,0.19
2020-12-31,17.92,$-8.16,0.0
2020-09-30,11.61,$-740.23,0.0
2020-06-30,10.25,$-862.86,0.0
2020-03-31,0.1,$-963.28,0.0
2019-12-31,0.1,$-915.56,0.0
2019-09-30,69.93,$-309.78,0.0
2019-06-30,69.93,$-436.52,0.0
2019-03-31,69.93,$-404.72,0.0
2018-12-31,69.93,$-388.14,0.0
2018-09-30,69.93,"$2,965.41",0.02
2018-06-30,69.93,"$-1,145.43",0.0
2018-03-31,34965.0,"$-1,145.06",0.0
2017-12-31,34965.0,"$-1,135.26",0.0
2017-09-30,12237762.24,"$-4,633.74",0.0
2017-06-30,24132524.13,"$-2,980.88",0.0
2017-03-31,10743260.74,"$-2,982.93",0.0
2016-12-31,100000000.0,"$-2,985.56",0.0
2016-09-30,100000000.0,"$-8,384.61",0.0
2016-06-30,100000000.0,"$-5,676.96",0.0
2016-03-31,100000000.0,"$-5,686.32",0.0
2015-12-31,100000000.0,"$-5,684.10",0.0
2015-09-30,100000000.0,$-10.32,0.0
2015-06-30,100000000.0,$-12.57,0.0
2015-03-31,100000000.0,$-1.57,0.0
2014-12-31,100000000.0,$-1.65,0.0
2014-09-30,100000000.0,$-1.89,0.0
2014-06-30,100000000.0,$-2.52,0.0
2014-03-31,100000000.0,$-3.64,0.0
2013-12-31,100000000.0,$-5.21,0.0
2013-09-30,100000000.0,$-17.61,0.0
2013-06-30,100000000.0,$-16.67,0.0
2013-03-31,100000000.0,$-15.36,0.0
2012-12-31,100000000.0,$-13.61,0.0
2012-09-30,100000000.0,$-0.96,0.0
2012-06-30,100000000.0,$-1.03,0.0
2012-03-31,100000000.0,$-1.00,0.0
2011-12-31,100000000.0,$-0.88,0.0
2011-09-30,100000000.0,$-0.76,0.0
2011-06-30,100000000.0,$-0.72,0.0
2011-03-31,100000000.0,$-0.69,0.0
2010-12-31,100000000.0,$-0.66,0.0
2010-09-30,100000000.0,$-0.58,0.0
2010-06-30,100000000.0,$-0.54,0.0
2010-03-31,100000000.0,$-0.47,0.0
2009-12-31,100000000.0,$-0.41,0.0
