Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data,Strategic Education Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.03,,22.02
2024-12-31,93.42,$3.73,25.08
2024-09-30,91.99,$5.97,15.41
2024-06-30,109.28,$5.78,18.9
2024-03-31,102.3,$5.29,19.35
2023-12-31,90.23,$3.59,25.11
2023-09-30,73.02,$4.23,17.27
2023-06-30,65.33,$4.13,15.83
2023-03-31,85.84,$4.54,18.91
2022-12-31,74.31,$5.33,13.93
2022-09-30,57.84,$4.17,13.87
2022-06-30,65.85,$3.93,16.74
2022-03-31,61.36,$4.99,12.3
2021-12-31,52.93,$5.78,9.16
2021-09-30,63.85,$4.33,14.74
2021-06-30,68.35,$4.53,15.08
2021-03-31,81.94,$4.48,18.31
2020-12-31,84.36,$4.20,20.07
2020-09-30,80.42,$7.60,10.58
2020-06-30,134.26,$7.52,17.86
2020-03-31,121.69,$7.60,16.01
2019-12-31,137.81,$7.40,18.63
2019-09-30,117.33,$8.13,14.43
2019-06-30,153.25,$3.20,47.93
2019-03-31,112.74,$2.40,46.94
2018-12-31,97.02,$1.27,76.28
2018-09-30,116.78,$-0.98,0.0
2018-06-30,95.96,$3.11,30.84
2018-03-31,85.61,$2.67,32.0
2017-12-31,75.71,$3.40,22.25
2017-09-30,73.57,$3.46,21.25
2017-06-30,78.34,$3.35,23.41
2017-03-31,67.45,$3.58,18.84
2016-12-31,67.35,$2.89,23.29
2016-09-30,38.99,$3.95,9.88
2016-06-30,41.04,$4.33,9.48
2016-03-31,40.72,$4.62,8.82
2015-12-31,50.22,$6.04,8.32
2015-09-30,45.92,$5.41,8.49
2015-06-30,36.0,$6.07,5.94
2015-03-31,44.62,$6.22,7.17
2014-12-31,62.05,$6.67,9.3
2014-09-30,50.02,$6.37,7.85
2014-06-30,43.86,$6.71,6.54
2014-03-31,38.79,$7.46,5.2
2013-12-31,28.79,$7.09,4.06
2013-09-30,34.68,$7.77,4.46
2013-06-30,40.79,$6.58,6.2
2013-03-31,40.41,$4.86,8.31
2012-12-31,46.92,$5.01,9.36
2012-09-30,52.64,$5.41,9.72
2012-06-30,87.88,$7.36,11.94
2012-03-31,75.13,$8.88,8.46
2011-12-31,76.72,$10.41,7.37
2011-09-30,59.87,$8.96,6.68
2011-06-30,97.62,$9.78,9.98
2011-03-31,99.97,$9.28,10.77
2010-12-31,115.77,$8.63,13.41
2010-09-30,131.78,$11.21,11.76
2010-06-30,156.28,$8.54,18.31
2010-03-31,182.49,$8.87,20.57
2009-12-31,158.71,$8.05,19.71
