RenovoRx Price to Free Cash Flow Ratio Historical Data,RenovoRx Price to Free Cash Flow Ratio Historical Data,RenovoRx Price to Free Cash Flow Ratio Historical Data,RenovoRx Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.99,,0.0
2024-09-30,1.06,$-0.50,0.0
2024-06-30,1.13,$-0.67,0.0
2024-03-31,1.34,$-0.85,0.0
2023-12-31,2.29,$-1.00,0.0
2023-09-30,1.33,$-0.95,0.0
2023-06-30,2.26,$-1.00,0.0
2023-03-31,3.49,$-1.04,0.0
2022-12-31,2.35,$-0.97,0.0
2022-09-30,2.02,$-1.32,0.0
2022-06-30,1.98,$-1.63,0.0
