Lifecore Biomedical Price to Free Cash Flow Ratio Historical Data,Lifecore Biomedical Price to Free Cash Flow Ratio Historical Data,Lifecore Biomedical Price to Free Cash Flow Ratio Historical Data,Lifecore Biomedical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.58,,0.0
2024-11-30,7.41,$-0.41,0.0
2024-08-31,4.38,$-0.19,0.0
2024-05-31,5.84,$-0.49,0.0
2024-02-29,8.35,$-0.99,0.0
2023-11-30,7.17,$-1.49,0.0
2023-08-31,8.0,$-1.59,0.0
2023-05-31,8.19,$-1.30,0.0
2023-02-28,5.79,$-1.38,0.0
2022-11-30,8.51,$-1.45,0.0
2022-08-31,10.5,$-1.69,0.0
2022-05-31,9.5,$-1.74,0.0
2022-02-28,11.52,$-1.61,0.0
2021-11-30,7.95,$-1.23,0.0
2021-08-31,10.83,$-0.65,0.0
2021-05-31,11.97,$0.14,84.3
2021-02-28,11.15,$-0.18,0.0
2020-11-30,10.35,$0.46,22.4
2020-08-31,10.24,$-0.30,0.0
2020-05-31,10.67,$-1.42,0.0
2020-02-29,10.26,$-1.29,0.0
2019-11-30,11.46,$-1.56,0.0
2019-08-31,10.99,$-1.09,0.0
2019-05-31,9.92,$-0.99,0.0
2019-02-28,12.84,$-1.01,0.0
2018-11-30,15.41,$-0.88,0.0
2018-08-31,13.45,$-0.85,0.0
2018-05-31,14.1,$-0.49,0.0
2018-02-28,13.0,$-0.26,0.0
2017-11-30,12.5,$0.11,111.21
2017-08-31,13.0,$0.01,1083.33
2017-05-31,14.0,$0.25,55.98
2017-02-28,12.6,$0.53,23.93
2016-11-30,14.3,$-0.20,0.0
2016-08-31,12.96,$-0.35,0.0
2016-05-31,11.58,$-0.70,0.0
2016-02-29,10.09,$-0.50,0.0
2015-11-30,12.81,$0.04,297.91
2015-08-31,13.3,$0.19,70.11
2015-05-31,14.29,$0.37,38.38
2015-02-28,13.96,$0.24,57.57
2014-11-30,13.14,$0.21,61.49
2014-08-31,13.13,$0.21,61.27
2014-05-31,12.01,$0.23,52.88
2014-02-28,10.19,$0.26,38.73
2013-11-30,11.74,$0.37,31.52
2013-08-31,13.2,$0.35,37.25
2013-05-31,14.04,$0.46,30.27
2013-02-28,11.01,$0.80,13.78
2012-11-30,10.06,$0.75,13.34
2012-08-31,9.8,$0.66,14.96
2012-05-31,7.31,$0.64,11.36
2012-02-29,6.3,$0.19,33.44
2011-11-30,5.95,$0.20,29.81
2011-08-31,5.95,$0.30,20.11
2011-05-31,5.74,$0.29,19.63
2011-02-28,6.15,$0.24,25.14
2010-11-30,6.26,$-0.01,0.0
2010-08-31,5.5,$0.08,70.88
2010-05-31,6.19,$0.09,71.98
2010-02-28,6.06,$0.19,31.93
2009-11-30,6.28,$0.22,28.43
