Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data,Alexander's Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,214.65,,32.1
2024-12-31,200.06,$6.69,29.92
2024-09-30,237.71,$11.18,21.26
2024-06-30,215.97,$12.39,17.44
2024-03-31,204.44,$32.74,6.24
2023-12-31,197.12,$33.58,5.87
2023-09-30,164.39,$29.06,5.66
2023-06-30,162.02,$25.24,6.42
2023-03-31,166.41,$14.79,11.25
2022-12-31,185.48,$17.20,10.78
2022-09-30,172.82,$31.77,5.44
2022-06-30,180.47,$40.71,4.43
2022-03-31,204.33,$31.56,6.47
2021-12-31,204.14,$35.29,5.78
2021-09-30,201.15,$19.36,10.39
2021-06-30,203.46,$13.19,15.42
2021-03-31,207.17,$15.16,13.66
2020-12-31,203.77,$8.91,22.88
2020-09-30,176.82,$10.77,16.42
2020-06-30,170.71,$21.58,7.91
2020-03-31,192.13,$17.28,11.12
2019-12-31,227.0,$22.79,9.96
2019-09-30,236.29,$19.31,12.24
2019-06-30,248.06,$16.37,15.15
2019-03-31,251.99,$15.57,16.19
2018-12-31,201.31,$13.60,14.81
2018-09-30,223.54,$22.49,9.94
2018-06-30,246.12,$23.08,10.67
2018-03-31,242.4,$22.71,10.68
2017-12-31,248.68,$23.45,10.6
2017-09-30,263.66,$22.66,11.63
2017-06-30,259.41,$22.72,11.42
2017-03-31,263.12,$23.22,11.33
2016-12-31,257.53,$22.55,11.42
2016-09-30,250.44,$18.42,13.6
2016-06-30,242.08,$12.48,19.4
2016-03-31,222.81,$12.21,18.25
2015-12-31,222.41,$10.97,20.27
2015-09-30,214.67,$-1.68,0.0
2015-06-30,233.22,$0.71,328.34
2015-03-31,257.62,$-4.14,0.0
2014-12-31,244.88,$-2.44,0.0
2014-09-30,207.87,$7.52,27.65
2014-06-30,203.62,$11.50,17.7
2014-03-31,197.11,$14.25,13.84
2013-12-31,178.49,$12.96,13.77
2013-09-30,153.38,$156.22,0.98
2013-06-30,156.0,$157.30,0.99
2013-03-31,173.52,$157.61,1.1
2012-12-31,172.65,$159.83,1.08
2012-09-30,162.04,$16.22,9.99
2012-06-30,162.06,$16.30,9.94
2012-03-31,146.67,$17.10,8.58
2011-12-31,136.45,$15.29,8.92
2011-09-30,132.2,$11.53,11.46
2011-06-30,144.21,$3.39,42.6
2011-03-31,146.83,$10.58,13.88
2010-12-31,147.68,$6.60,22.37
2010-09-30,112.42,$9.57,11.75
2010-06-30,107.03,$5.96,17.95
2010-03-31,104.79,$-1.02,0.0
2009-12-31,106.64,$-6.91,0.0
