Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data,Levi Strauss Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.8,,9.48
2024-11-30,17.46,$1.67,10.47
2024-08-31,19.13,$1.58,12.11
2024-05-31,23.65,$1.53,15.47
2024-02-29,17.8,$1.52,11.72
2023-11-30,15.07,$0.30,49.67
2023-08-31,13.28,$-0.31,0.0
2023-05-31,12.66,$-0.30,0.0
2023-02-28,17.02,$-0.81,0.0
2022-11-30,15.58,$-0.10,0.0
2022-08-31,15.79,$0.48,32.88
2022-05-31,16.87,$1.02,16.59
2022-02-28,20.93,$1.34,15.58
2021-11-30,23.53,$1.39,16.9
2021-08-31,24.05,$1.43,16.84
2021-05-31,24.48,$1.38,17.78
2021-02-28,21.24,$0.56,38.03
2020-11-30,16.76,$0.85,19.63
2020-08-31,11.23,$0.76,14.7
2020-05-31,12.29,$0.29,42.75
2020-02-29,15.38,$0.95,16.12
