Chicago Atlantic Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic Real Estate Finance Price to Free Cash Flow Ratio Historical Data,Chicago Atlantic Real Estate Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.4,,13.11
2024-12-31,15.42,$1.17,13.13
2024-09-30,15.51,$1.92,8.09
2024-06-30,15.36,$1.56,9.86
2024-03-31,15.77,$1.83,8.64
2023-12-31,16.18,$1.55,10.44
2023-09-30,14.72,$0.96,15.39
2023-06-30,15.15,$1.19,12.68
2023-03-31,13.51,$0.88,15.32
2022-12-31,15.07,$0.96,15.73
2022-09-30,14.41,$0.70,20.67
