Lifeward Price to Free Cash Flow Ratio Historical Data,Lifeward Price to Free Cash Flow Ratio Historical Data,Lifeward Price to Free Cash Flow Ratio Historical Data,Lifeward Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.87,,0.0
2024-12-31,1.73,$-2.50,0.0
2024-09-30,3.26,$-2.56,0.0
2024-06-30,4.01,$-2.95,0.0
2024-03-31,5.23,$-2.71,0.0
2023-12-31,5.44,$-2.43,0.0
2023-09-30,5.32,$-2.34,0.0
2023-06-30,4.2,$-1.99,0.0
2023-03-31,5.04,$-1.99,0.0
2022-12-31,5.32,$-2.01,0.0
2022-09-30,6.22,$-1.90,0.0
2022-06-30,6.58,$-1.77,0.0
2022-03-31,8.12,$-1.71,0.0
2021-12-31,8.61,$-1.68,0.0
2021-09-30,10.57,$-3.18,0.0
2021-06-30,11.83,$-2.55,0.0
2021-03-31,16.94,$-3.30,0.0
2020-12-31,9.24,$-5.62,0.0
2020-09-30,7.56,$-11.02,0.0
2020-06-30,12.32,$-11.37,0.0
2020-03-31,3.02,$-11.68,0.0
2019-12-31,15.12,$-18.02,0.0
2019-09-30,21.42,$-21.03,0.0
2019-06-30,30.45,$-32.55,0.0
2019-03-31,37.82,$-50.31,0.0
2018-12-31,30.47,$-70.30,0.0
2018-09-30,155.75,$-116.83,0.0
2018-06-30,171.48,$-129.02,0.0
2018-03-31,192.5,$-159.63,0.0
2017-12-31,192.5,$-194.58,0.0
2017-09-30,253.75,$-226.62,0.0
2017-06-30,306.25,$-289.20,0.0
2017-03-31,367.5,$-335.27,0.0
2016-12-31,490.0,$-371.37,0.0
2016-09-30,1013.25,$-386.74,0.0
2016-06-30,1134.0,$-387.58,0.0
2016-03-31,1645.0,$-375.29,0.0
2015-12-31,2532.25,$-370.17,0.0
2015-09-30,1344.0,$360.56,3.73
2015-06-30,1951.25,$-404.93,0.0
