Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data,Urban Edge Properties Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,18.76,,0.0
2024-12-31,21.5,$-0.67,0.0
2024-09-30,21.23,$-0.12,0.0
2024-06-30,18.19,$-0.20,0.0
2024-03-31,16.84,$0.15,108.82
2023-12-31,17.67,$0.39,45.85
2023-09-30,14.61,$0.13,109.75
2023-06-30,14.63,$0.20,74.38
2023-03-31,14.13,$-0.06,0.0
2022-12-31,13.07,$-0.10,0.0
2022-09-30,12.25,$-1.80,0.0
2022-06-30,13.82,$-2.15,0.0
2022-03-31,17.17,$-1.75,0.0
2021-12-31,16.93,$-1.47,0.0
2021-09-30,16.18,$0.19,86.24
2021-06-30,16.74,$0.67,24.91
2021-03-31,14.37,$0.61,23.63
2020-12-31,11.16,$0.12,91.65
2020-09-30,8.1,$-0.01,0.0
2020-06-30,9.89,$0.56,17.59
2020-03-31,7.34,$0.76,9.65
2019-12-31,15.73,$1.12,14.05
2019-09-30,16.04,$1.47,10.91
2019-06-30,13.89,$0.51,27.36
2019-03-31,15.04,$0.78,19.27
2018-12-31,13.01,$0.62,20.91
2018-09-30,17.08,$0.60,28.31
2018-06-30,17.52,$0.98,17.94
2018-03-31,16.19,$-1.05,0.0
2017-12-31,19.13,$-1.16,0.0
2017-09-30,17.95,$-1.26,0.0
2017-06-30,17.5,$-1.34,0.0
2017-03-31,19.23,$0.50,38.47
2016-12-31,19.94,$0.78,25.51
2016-09-30,20.24,$0.71,28.46
2016-06-30,21.32,$0.87,24.48
2016-03-31,18.32,$0.63,29.16
2015-12-31,16.49,$0.72,22.85
