Erasca Price to Free Cash Flow Ratio Historical Data,Erasca Price to Free Cash Flow Ratio Historical Data,Erasca Price to Free Cash Flow Ratio Historical Data,Erasca Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.48,,0.0
2024-09-30,2.73,$-0.47,0.0
2024-06-30,2.36,$-0.61,0.0
2024-03-31,2.06,$-0.72,0.0
2023-12-31,2.13,$-0.69,0.0
2023-09-30,1.97,$-0.74,0.0
2023-06-30,2.76,$-0.78,0.0
2023-03-31,3.01,$-0.87,0.0
2022-12-31,4.31,$-0.97,0.0
2022-09-30,7.8,$-1.49,0.0
2022-06-30,5.57,$-1.91,0.0
