Star Holdings Price to Free Cash Flow Ratio Historical Data,Star Holdings Price to Free Cash Flow Ratio Historical Data,Star Holdings Price to Free Cash Flow Ratio Historical Data,Star Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.18,,0.0
2024-12-31,9.73,$-1.47,0.0
2024-09-30,13.84,$1.22,11.38
2024-06-30,12.06,$2.45,4.93
2024-03-31,12.92,$1.92,6.74
2023-12-31,14.98,$2.72,5.51
