Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data,Petroleo Brasileiro S.A.- Petrobras Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.03,,2.9
2024-09-30,13.87,$4.83,2.87
2024-06-30,13.63,$4.64,2.94
2024-03-31,13.66,$4.93,2.77
2023-12-31,14.35,$5.33,2.69
2023-09-30,13.23,$5.10,2.59
2023-06-30,11.87,$5.98,1.99
2023-03-31,8.51,$6.91,1.23
2022-12-31,8.69,$6.90,1.26
2022-09-30,9.47,$6.77,1.4
2022-06-30,8.19,$8.37,0.98
2022-03-31,9.14,$7.04,1.3
2021-12-31,6.78,$7.43,0.91
2021-09-30,5.76,$6.94,0.83
2021-03-31,4.31,$4.35,0.99
2020-09-30,3.62,$4.46,0.81
2020-03-31,2.77,$3.03,0.91
2019-12-31,8.02,$2.61,3.07
2019-09-30,7.24,$3.50,2.07
2019-06-30,7.73,$2.82,2.74
2019-03-31,7.88,$2.70,2.92
2018-12-31,6.44,$3.10,2.08
2018-09-30,5.94,$0.12,49.38
2018-06-30,4.93,$1.79,2.75
2018-03-31,6.93,$2.27,3.06
2017-12-31,5.05,$2.07,2.44
2017-09-30,4.92,$4.25,1.16
2017-06-30,3.92,$3.15,1.24
2017-03-31,4.75,$2.81,1.69
2016-12-31,4.96,$2.18,2.27
2016-09-30,4.57,$1.69,2.71
2016-06-30,3.51,$1.01,3.47
2016-03-31,2.86,$0.86,3.33
2015-12-31,2.11,$0.70,3.02
2015-09-30,2.13,$0.55,3.85
2015-06-30,4.44,$0.70,6.32
2015-03-31,2.95,$0.01,245.55
2014-12-31,3.58,$-0.66,0.0
2014-09-30,6.96,$-2.33,0.0
2014-06-30,7.17,$-3.22,0.0
2014-03-31,6.22,$-3.34,0.0
2013-12-31,6.52,$-2.89,0.0
2013-09-30,7.33,$-2.40,0.0
2013-06-30,6.34,$-2.11,0.0
2013-03-31,7.73,$-2.23,0.0
2012-12-31,9.08,$-1.98,0.0
2012-09-30,10.7,$-6.07,0.0
2012-06-30,8.75,$-1.50,0.0
2012-03-31,12.26,$-0.97,0.0
2011-12-31,11.32,$-1.18,0.0
2011-09-30,10.14,$4.41,2.3
2011-06-30,15.16,$-1.84,0.0
2011-03-31,17.89,$-2.16,0.0
2010-12-31,16.67,$-2.90,0.0
2010-09-30,15.8,$-3.76,0.0
2010-06-30,14.86,$-2.28,0.0
2010-03-31,19.02,$-2.79,0.0
2009-12-31,20.37,$-1.91,0.0
