Monogram Orthopaedics Price to Free Cash Flow Ratio Historical Data,Monogram Orthopaedics Price to Free Cash Flow Ratio Historical Data,Monogram Orthopaedics Price to Free Cash Flow Ratio Historical Data,Monogram Orthopaedics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.12,,0.0
2024-12-31,2.37,$-0.43,0.0
2024-09-30,2.65,$-0.59,0.0
2024-06-30,2.15,$-0.36,0.0
2024-03-31,2.44,$-0.72,0.0
