Tenon Medical Price to Free Cash Flow Ratio Historical Data,Tenon Medical Price to Free Cash Flow Ratio Historical Data,Tenon Medical Price to Free Cash Flow Ratio Historical Data,Tenon Medical Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.11,,0.0
2024-09-30,4.24,$-27.97,0.0
2024-06-30,0.61,$-23.04,0.0
2024-03-31,0.95,$-36.16,0.0
2023-12-31,1.58,$-55.32,0.0
2023-09-30,0.16,$-101.01,0.0
2023-06-30,0.28,$-119.99,0.0
2023-03-31,1.77,$-154.61,0.0
