Orions Price to Free Cash Flow Ratio Historical Data,Orions Price to Free Cash Flow Ratio Historical Data,Orions Price to Free Cash Flow Ratio Historical Data,Orions Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.89,,171.72
2024-12-31,7.33,$0.03,213.7
2024-09-30,5.77,$1.04,5.55
2024-06-30,9.51,$-0.59,0.0
2024-03-31,8.2,$-0.02,0.0
2023-12-31,4.94,$0.60,8.26
2023-09-30,5.36,$-0.81,0.0
2023-06-30,2.81,$-0.31,0.0
2023-03-31,2.59,$-0.37,0.0
2022-12-31,2.38,$-0.00,0.0
2022-09-30,2.64,$-0.16,0.0
2022-06-30,2.28,$-0.53,0.0
2022-03-31,2.48,$0.26,9.62
2021-12-31,3.77,$0.33,11.31
2021-09-30,5.44,$0.68,7.95
2021-06-30,5.75,$1.27,4.54
2021-03-31,6.07,$1.08,5.64
2020-12-31,4.96,$1.24,4.01
2020-09-30,2.75,$1.06,2.59
2020-06-30,3.14,$0.74,4.26
2020-03-31,2.6,$0.12,22.39
2019-12-31,5.19,$-0.54,0.0
2019-09-30,4.5,$0.43,10.4
2019-06-30,2.68,$0.20,13.67
2019-03-31,2.92,$-0.16,0.0
2018-12-31,4.29,$0.26,16.42
2018-09-30,7.55,$-0.67,0.0
2018-06-30,8.26,$0.06,142.91
2018-03-31,6.59,$0.95,6.97
2017-12-31,7.83,$1.07,7.34
2017-09-30,6.56,$1.39,4.72
2017-06-30,7.47,$1.08,6.92
2017-03-31,7.47,$0.96,7.81
2016-12-31,9.95,$0.24,41.6
2016-09-30,6.85,$0.79,8.71
2016-06-30,5.31,$0.59,9.0
2016-03-31,5.18,$-0.10,0.0
2015-12-31,4.17,$0.26,16.11
2015-09-30,5.98,$-0.94,0.0
2015-06-30,7.22,$-0.44,0.0
2015-03-31,8.86,$-0.48,0.0
2014-12-31,11.05,$-1.11,0.0
2014-09-30,9.98,$-0.36,0.0
2014-06-30,10.83,$-1.03,0.0
2014-03-31,12.57,$-0.80,0.0
2013-12-31,12.03,$0.04,325.14
2013-09-30,10.41,$-0.36,0.0
2013-06-30,12.09,$0.75,16.03
2013-03-31,9.94,$1.54,6.44
2012-12-31,7.31,$0.01,0.0
2012-09-30,7.43,$0.16,46.58
2012-06-30,6.96,$-0.21,0.0
2012-03-31,7.23,$-0.67,0.0
2011-12-31,6.65,$0.69,9.64
2011-09-30,5.77,$0.23,25.0
2011-06-30,9.41,$0.31,30.1
2011-03-31,10.74,$-0.08,0.0
2010-12-31,11.6,$-0.53,0.0
2010-09-30,12.41,$-0.36,0.0
2010-06-30,14.2,$-0.77,0.0
2010-03-31,18.05,$-0.41,0.0
2009-12-31,21.06,$0.78,26.95
