Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data,Voya Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,68.37,,5.15
2024-12-31,68.83,$13.26,5.19
2024-09-30,78.79,$15.91,4.95
2024-06-30,70.3,$12.47,5.64
2024-03-31,72.65,$15.84,4.59
2023-12-31,71.29,$15.06,4.74
2023-09-30,64.56,$13.37,4.83
2023-06-30,69.28,$13.75,5.04
2023-03-31,68.84,$10.60,6.5
2022-12-31,59.08,$12.27,4.82
2022-09-30,57.95,$12.03,4.82
2022-06-30,56.84,$9.12,6.23
2022-03-31,63.12,$10.42,6.06
2021-12-31,62.89,$0.17,359.57
2021-09-30,58.04,$2.88,20.17
2021-06-30,57.99,$4.46,13.0
2021-03-31,59.86,$3.73,16.05
2020-12-31,55.17,$10.33,5.34
2020-09-30,44.85,$9.25,4.85
2020-06-30,43.53,$8.62,5.05
2020-03-31,37.71,$7.49,5.03
2019-12-31,56.56,$8.91,6.35
2019-09-30,50.36,$7.04,7.15
2019-06-30,51.0,$8.67,5.88
2019-03-31,46.07,$9.72,4.74
2018-12-31,37.0,$11.11,3.33
2018-09-30,45.79,$12.38,3.7
2018-06-30,43.32,$11.73,3.69
2018-03-31,46.54,$11.09,4.2
2017-12-31,45.58,$8.59,5.3
2017-09-30,36.74,$12.19,3.01
2017-06-30,33.97,$13.18,2.58
2017-03-31,34.95,$14.91,2.34
2016-12-31,36.1,$18.21,1.98
2016-09-30,26.52,$14.63,1.81
2016-06-30,22.77,$15.93,1.43
2016-03-31,27.37,$12.99,2.11
2015-12-31,33.93,$14.28,2.38
2015-09-30,35.63,$14.58,2.44
2015-06-30,42.7,$13.43,3.18
2015-03-31,39.6,$15.49,2.56
2014-12-31,38.92,$14.10,2.76
2014-09-30,35.9,$13.04,2.75
2014-06-30,33.36,$14.73,2.27
2014-03-31,33.28,$15.75,2.11
