Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data,Entegris Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,99.05,,47.58
2024-12-31,99.06,$2.08,47.58
2024-09-30,112.42,$1.83,61.56
2024-06-30,135.16,$1.92,70.23
2024-03-31,140.18,$1.65,84.74
2023-12-31,119.42,$1.24,96.07
2023-09-30,93.49,$0.32,295.29
2023-06-30,110.22,$-0.40,0.0
2023-03-31,81.46,$-0.45,0.0
2022-12-31,65.07,$-0.72,0.0
2022-09-30,82.26,$0.30,276.12
2022-06-30,91.2,$0.90,101.66
2022-03-31,129.82,$1.17,111.22
2021-12-31,136.95,$1.39,98.53
2021-09-30,124.35,$2.22,56.13
2021-06-30,121.37,$1.98,61.26
2021-03-31,110.27,$2.46,44.74
2020-12-31,94.71,$2.31,40.98
2020-09-30,73.19,$1.95,37.56
2020-06-30,58.07,$1.44,40.33
2020-03-31,43.96,$2.17,20.3
2019-12-31,49.11,$1.98,24.85
2019-09-30,46.07,$1.62,28.36
2019-06-30,36.47,$2.03,18.0
2019-03-31,34.81,$1.14,30.52
2018-12-31,27.21,$1.42,19.17
2018-09-30,28.16,$1.44,19.57
2018-06-30,32.92,$1.49,22.12
2018-03-31,33.72,$1.32,25.51
2017-12-31,29.44,$1.39,21.15
2017-09-30,27.83,$1.24,22.52
2017-06-30,21.18,$1.20,17.58
2017-03-31,22.58,$1.08,20.84
2016-12-31,17.27,$1.00,17.24
2016-09-30,16.81,$0.99,16.92
2016-06-30,13.96,$0.66,21.13
2016-03-31,13.14,$0.49,26.82
2015-12-31,12.8,$0.35,36.92
2015-09-30,12.73,$0.24,52.18
2015-06-30,14.06,$0.54,25.88
2015-03-31,13.21,$0.35,37.34
2014-12-31,12.74,$0.49,25.99
2014-09-30,11.1,$0.51,21.94
2014-06-30,13.26,$0.25,52.23
2014-03-31,11.68,$0.40,28.93
2013-12-31,11.18,$0.35,31.83
2013-09-30,9.8,$0.38,25.59
2013-06-30,9.05,$0.43,20.94
2013-03-31,9.51,$0.48,19.69
2012-12-31,8.86,$0.47,18.79
2012-09-30,7.84,$0.55,14.15
2012-06-30,8.24,$0.67,12.26
2012-03-31,9.01,$0.83,10.91
2011-12-31,8.42,$0.93,9.03
2011-09-30,6.16,$0.92,6.73
2011-06-30,9.76,$0.93,10.54
2011-03-31,8.47,$0.78,10.85
2010-12-31,7.21,$0.93,7.73
2010-09-30,4.51,$0.75,6.0
2010-06-30,3.83,$0.43,8.86
2010-03-31,4.85,$0.26,18.47
2009-12-31,5.09,$-0.08,0.0
