Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data,Edgewell Personal Care Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.59,,12.66
2024-12-31,33.6,$2.34,14.38
2024-09-30,36.2,$3.48,10.39
2024-06-30,39.88,$3.10,12.88
2024-03-31,38.34,$4.30,8.92
2023-12-31,36.2,$3.52,10.27
2023-09-30,36.37,$3.22,11.31
2023-06-30,40.49,$2.84,14.26
2023-03-31,41.43,$1.72,24.07
2022-12-31,37.51,$0.58,64.95
2022-09-30,36.27,$0.85,42.63
2022-06-30,33.35,$1.58,21.1
2022-03-31,35.27,$2.67,13.21
2021-12-31,43.78,$3.20,13.67
2021-09-30,34.64,$3.12,11.11
2021-06-30,41.74,$3.91,10.69
2021-03-31,37.53,$2.63,14.26
2020-12-31,32.61,$2.70,12.09
2020-09-30,26.18,$3.39,7.73
2020-06-30,29.26,$3.03,9.66
2020-03-31,22.61,$3.47,6.52
2019-12-31,29.07,$2.48,11.71
2019-09-30,30.51,$2.53,12.07
2019-06-30,25.31,$2.21,11.43
2019-03-31,41.22,$2.06,20.03
2018-12-31,35.07,$3.36,10.45
2018-09-30,43.41,$3.71,11.71
2018-06-30,47.39,$5.58,8.49
2018-03-31,45.85,$5.45,8.41
2017-12-31,55.77,$5.10,10.94
2017-09-30,68.34,$4.57,14.94
2017-06-30,71.39,$4.41,16.19
2017-03-31,68.68,$3.59,19.13
2016-12-31,68.54,$2.06,33.31
2016-09-30,74.68,$1.96,38.01
2016-06-30,79.27,$0.84,94.1
2016-03-31,75.62,$-1.62,0.0
2015-12-31,73.6,$0.58,126.8
2015-09-30,76.63,$1.07,71.4
2015-06-30,91.67,$2.05,44.62
2015-03-31,95.85,$5.70,16.82
2014-12-31,88.94,$6.66,13.35
2014-09-30,84.89,$7.93,10.7
2014-06-30,83.73,$9.28,9.02
2014-03-31,68.82,$10.24,6.72
2013-12-31,73.56,$10.11,7.28
2013-09-30,61.66,$10.46,5.89
2013-06-30,67.65,$10.34,6.55
2013-03-31,66.86,$8.66,7.72
2012-12-31,53.38,$8.72,6.12
2012-09-30,49.53,$8.22,6.03
2012-06-30,49.67,$7.31,6.8
2012-03-31,48.96,$6.52,7.51
2011-12-31,51.14,$5.25,9.74
2011-09-30,43.85,$4.58,9.57
2011-06-30,47.76,$4.21,11.35
2011-03-31,46.97,$5.50,8.54
2010-12-31,48.12,$6.40,7.52
2010-09-30,44.37,$7.72,5.75
2010-06-30,33.19,$8.50,3.91
2010-03-31,41.42,$7.92,5.23
2009-12-31,40.45,$6.63,6.1
