IM Cannabis Price to Free Cash Flow Ratio Historical Data,IM Cannabis Price to Free Cash Flow Ratio Historical Data,IM Cannabis Price to Free Cash Flow Ratio Historical Data,IM Cannabis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.78,,2.25
2024-09-30,2.38,$0.79,3.01
2024-06-30,0.46,$1.68,0.27
2024-03-31,0.53,$-0.42,0.0
2023-12-31,0.36,$-3.00,0.0
2023-09-30,0.72,$-4.76,0.0
2023-06-30,0.92,$-5.92,0.0
2023-03-31,0.72,$-4.98,0.0
2022-12-31,0.97,$-8.99,0.0
2022-09-30,0.41,$-10.04,0.0
2022-06-30,0.64,$-38.92,0.0
