Ocean Power Technologies Price to Free Cash Flow Ratio Historical Data,Ocean Power Technologies Price to Free Cash Flow Ratio Historical Data,Ocean Power Technologies Price to Free Cash Flow Ratio Historical Data,Ocean Power Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.47,,0.0
2024-10-31,0.15,$-0.37,0.0
2024-07-31,0.22,$-0.49,0.0
2024-04-30,0.19,$-0.55,0.0
2024-01-31,0.3,$-0.55,0.0
2023-10-31,0.3,$-0.47,0.0
2023-07-31,0.6,$-0.45,0.0
2023-04-30,0.51,$-0.40,0.0
2023-01-31,0.7,$-0.40,0.0
2022-10-31,0.73,$-0.40,0.0
2022-07-31,0.87,$-0.39,0.0
2022-04-30,1.06,$-0.40,0.0
2022-01-31,1.13,$-0.43,0.0
2021-10-31,2.13,$-0.31,0.0
2021-07-31,1.97,$-0.32,0.0
2021-04-30,2.51,$-0.39,0.0
2021-01-31,4.01,$-0.35,0.0
2020-10-31,1.69,$-0.73,0.0
2020-07-31,0.83,$-1.05,0.0
2020-04-30,0.45,$-1.48,0.0
2020-01-31,0.83,$-0.52,0.0
2019-10-31,1.44,$-2.23,0.0
2019-07-31,1.65,$-5.87,0.0
2019-04-30,2.78,$-9.47,0.0
2019-01-31,6.4,$-15.50,0.0
2018-10-31,10.09,$-12.63,0.0
2018-07-31,14.8,$-12.08,0.0
2018-04-30,22.0,$-14.80,0.0
2018-01-31,23.8,$-30.74,0.0
2017-10-31,24.8,$-25.41,0.0
2017-07-31,26.0,$-27.98,0.0
2017-04-30,28.6,$-47.31,0.0
2017-01-31,52.6,$-60.37,0.0
2016-10-31,46.4,$-74.52,0.0
2016-07-31,183.8,$-111.59,0.0
2016-04-30,37.8,$-121.04,0.0
2016-01-31,33.0,$-115.01,0.0
2015-10-31,46.2,$-137.44,0.0
2015-07-31,108.2,$-196.68,0.0
2015-04-30,112.0,$-197.26,0.0
2015-01-31,85.78,$-144.73,0.0
2014-10-31,198.64,$-123.27,0.0
2014-07-31,276.0,$-84.73,0.0
2014-04-30,540.0,$-108.36,0.0
2014-01-31,464.0,$-183.97,0.0
2013-10-31,470.0,$-213.02,0.0
2013-07-31,314.0,$-208.18,0.0
2013-04-30,308.0,$-218.17,0.0
2013-01-31,426.0,$-254.66,0.0
2012-10-31,488.0,$-254.31,0.0
2012-07-31,480.2,$-254.96,0.0
2012-04-30,544.0,$-281.42,0.0
2012-01-31,574.0,$-287.20,0.0
2011-10-31,748.0,$-339.54,0.0
2011-07-31,658.0,$-345.30,0.0
2011-04-30,974.0,$-367.78,0.0
2011-01-31,1074.0,$-353.40,0.0
2010-10-31,1304.0,$-362.92,0.0
2010-07-31,1104.0,$-382.23,0.0
2010-04-30,1368.0,$-313.40,0.0
2010-01-31,1202.0,$-314.09,0.0
2009-10-31,1212.0,$-477.93,0.0
