Gannett Price to Free Cash Flow Ratio Historical Data,Gannett Price to Free Cash Flow Ratio Historical Data,Gannett Price to Free Cash Flow Ratio Historical Data,Gannett Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.14,,6.24
2024-12-31,5.06,$0.50,10.05
2024-09-30,5.62,$0.62,9.03
2024-06-30,4.61,$0.70,6.59
2024-03-31,2.44,$0.89,2.75
2023-12-31,2.3,$1.02,2.27
2023-09-30,2.45,$0.99,2.48
2023-06-30,2.25,$1.00,2.24
2023-03-31,1.87,$0.47,4.01
2022-12-31,2.03,$0.58,3.52
2022-09-30,1.53,$1.25,1.22
2022-06-30,2.9,$1.12,2.59
2022-03-31,4.51,$1.31,3.43
2021-12-31,5.33,$1.48,3.6
2021-09-30,6.68,$1.83,3.65
2021-06-30,5.49,$1.92,2.87
2021-03-31,5.38,$1.69,3.19
2020-12-31,3.36,$1.65,2.04
2020-09-30,1.3,$0.71,1.83
