PodcastOne Price to Free Cash Flow Ratio Historical Data,PodcastOne Price to Free Cash Flow Ratio Historical Data,PodcastOne Price to Free Cash Flow Ratio Historical Data,PodcastOne Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.72,,0.0
2024-12-31,2.16,$-0.02,0.0
2024-09-30,1.53,$0.06,25.12
2024-06-30,1.68,$0.06,26.42
