Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data,Snap-On Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,329.87,,15.52
2024-12-31,339.48,$21.25,15.97
2024-09-30,288.0,$21.26,13.55
2024-06-30,258.12,$21.33,12.1
2024-03-31,290.58,$20.65,14.07
2023-12-31,281.41,$19.70,14.28
2023-09-30,246.83,$18.03,13.69
2023-06-30,277.2,$15.22,18.22
2023-03-31,236.01,$12.89,18.31
2022-12-31,216.98,$11.00,19.73
2022-09-30,189.91,$11.27,16.85
2022-06-30,184.7,$12.40,14.9
2022-03-31,191.36,$14.16,13.51
2021-12-31,199.22,$16.34,12.19
2021-09-30,192.01,$17.92,10.72
2021-06-30,204.16,$18.66,10.94
2021-03-31,209.8,$19.12,10.97
2020-12-31,154.63,$17.24,8.97
2020-09-30,131.99,$15.05,8.77
2020-06-30,123.37,$12.99,9.5
2020-03-31,96.15,$10.67,9.01
2019-12-31,148.67,$10.32,14.41
2019-09-30,136.47,$10.57,12.91
2019-06-30,143.49,$10.46,13.71
2019-03-31,134.77,$11.28,11.95
2018-12-31,124.37,$11.77,10.57
2018-09-30,156.26,$11.23,13.91
2018-06-30,136.14,$10.81,12.6
2018-03-31,124.3,$9.77,12.72
2017-12-31,146.06,$9.01,16.21
2017-09-30,124.22,$8.56,14.51
2017-06-30,131.1,$8.87,14.78
2017-03-31,139.35,$9.38,14.86
2016-12-31,140.92,$8.48,16.61
2016-09-30,124.5,$8.49,14.67
2016-06-30,128.78,$8.48,15.19
2016-03-31,127.63,$8.32,15.34
2015-12-31,138.78,$7.28,19.06
2015-09-30,121.76,$6.31,19.28
2015-06-30,128.04,$5.82,22.01
2015-03-31,117.84,$5.30,22.24
2014-12-31,109.17,$5.47,19.96
2014-09-30,96.29,$5.89,16.34
2014-06-30,93.93,$5.88,15.96
2014-03-31,89.59,$5.74,15.6
2013-12-31,86.12,$5.59,15.4
2013-09-30,77.91,$5.14,15.15
2013-06-30,69.71,$4.89,14.26
2013-03-31,64.23,$4.56,14.1
2012-12-31,61.05,$4.29,14.24
2012-09-30,55.26,$3.87,14.28
2012-06-30,47.64,$3.51,13.56
2012-03-31,46.39,$1.81,25.56
2011-12-31,38.3,$1.21,31.66
2011-09-30,33.38,$0.83,40.08
2011-06-30,46.66,$0.44,107.2
2011-03-31,44.61,$1.74,25.58
2010-12-31,41.8,$1.66,25.11
2010-09-30,34.15,$2.45,13.94
2010-06-30,29.82,$3.49,8.54
2010-03-31,31.39,$4.97,6.31
2009-12-31,30.39,$4.91,6.2
