Biodexa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Biodexa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Biodexa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Biodexa Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.0,,inf
2023-12-31,2.68,0.0,0.0
2023-06-30,0.07,0.0,0.0
2022-12-31,0.99,0.0,0.0
2022-06-30,0.54,0.0,0.0
2021-12-31,1.05,0.0,0.0
2021-06-30,2.08,0.0,0.0
2020-12-31,1.87,0.0,0.0
2020-06-30,1.38,0.0,0.0
2019-12-31,0.69,0.0,0.0
2019-06-30,1.44,0.0,0.0
2018-12-31,1.55,0.0,0.0
2018-06-30,6.85,0.0,0.0
2017-12-31,8.38,0.0,0.0
2017-06-30,25.8,0.0,0.0
