LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data,LCI Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,88.84,,6.91
2024-12-31,103.39,$12.86,8.04
2024-09-30,119.4,$14.07,8.49
2024-06-30,101.5,$15.30,6.64
2024-03-31,120.82,$15.37,7.86
2023-12-31,122.31,$18.28,6.69
2023-09-30,113.15,$16.88,6.7
2023-06-30,120.76,$17.05,7.08
2023-03-31,103.99,$17.12,6.07
2022-12-31,86.69,$18.49,4.69
2022-09-30,94.14,$9.07,10.38
2022-06-30,102.87,$3.31,31.06
2022-03-31,94.6,$-3.98,0.0
2021-12-31,140.95,$-8.26,0.0
2021-09-30,121.05,$-2.79,0.0
2021-06-30,117.41,$2.71,43.4
2021-03-31,117.47,$4.79,24.51
2020-12-31,114.57,$6.89,16.62
2020-09-30,93.35,$9.25,10.09
2020-06-30,100.32,$6.14,16.34
2020-03-31,57.96,$8.76,6.62
2019-12-31,92.26,$8.42,10.96
2019-09-30,78.61,$7.28,10.79
2019-06-30,76.45,$6.24,12.25
2019-03-31,64.76,$3.80,17.07
2018-12-31,55.89,$1.44,38.69
2018-09-30,68.7,$1.31,52.57
2018-06-30,74.32,$1.43,52.06
2018-03-31,85.25,$0.97,87.84
2017-12-31,105.87,$2.58,41.03
2017-09-30,93.91,$2.47,38.07
2017-06-30,82.57,$3.58,23.09
2017-03-31,80.03,$5.17,15.47
2016-12-31,86.02,$6.30,13.66
2016-09-30,77.88,$7.45,10.45
2016-06-30,67.2,$6.64,10.11
2016-03-31,50.86,$4.34,11.72
2015-12-31,47.82,$2.77,17.24
2015-09-30,42.89,$2.16,19.86
2015-06-30,45.57,$2.12,21.49
2015-03-31,48.33,$1.87,25.88
2014-12-31,38.84,$2.80,13.87
2014-09-30,32.08,$2.28,14.1
2014-06-30,38.03,$3.15,12.07
2014-03-31,41.22,$3.47,11.88
2013-12-31,38.94,$2.17,17.95
2013-09-30,33.31,$2.34,14.22
2013-06-30,28.76,$1.03,28.04
2013-03-31,26.56,$1.70,15.59
2012-12-31,23.59,$2.02,11.69
2012-09-30,20.69,$1.85,11.17
2012-06-30,19.08,$2.27,8.39
2012-03-31,18.71,$0.51,36.67
2011-12-31,16.8,$0.62,27.23
2011-09-30,13.69,$0.93,14.65
2011-06-30,16.93,$0.91,18.55
2011-03-31,15.3,$1.18,13.01
2010-12-31,15.56,$1.51,10.28
2010-09-30,13.39,$1.39,9.66
2010-06-30,12.96,$2.22,5.84
2010-03-31,14.13,$2.79,5.06
2009-12-31,13.25,$2.82,4.7
