Lincoln Educational Services Price to Free Cash Flow Ratio Historical Data,Lincoln Educational Services Price to Free Cash Flow Ratio Historical Data,Lincoln Educational Services Price to Free Cash Flow Ratio Historical Data,Lincoln Educational Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,15.87,,0.0
2024-12-31,15.82,$-0.57,0.0
2024-09-30,11.94,$-0.42,0.0
2024-06-30,11.86,$-0.80,0.0
2024-03-31,10.33,$0.48,21.41
2023-12-31,10.04,$0.59,16.88
2023-09-30,8.45,$0.21,40.8
2023-06-30,6.74,$1.29,5.23
2023-03-31,5.66,$0.26,21.51
2022-12-31,5.79,$-0.22,0.0
2022-09-30,5.44,$1.95,2.79
2022-06-30,6.31,$2.27,2.78
2022-03-31,7.15,$2.39,3.0
2021-12-31,7.47,$2.60,2.87
2021-09-30,6.69,$0.95,7.03
2021-06-30,7.78,$0.49,15.92
2021-03-31,6.41,$0.88,7.29
2020-12-31,6.5,$0.72,8.98
2020-09-30,5.52,$0.42,13.1
2020-06-30,3.9,$0.45,8.73
2020-03-31,2.2,$-0.25,0.0
2019-12-31,2.7,$-0.18,0.0
2019-09-30,2.08,$-0.18,0.0
2019-06-30,2.31,$-0.08,0.0
2019-03-31,3.1,$-0.20,0.0
2018-12-31,3.2,$-0.17,0.0
2018-09-30,2.26,$-0.13,0.0
2018-06-30,1.74,$0.29,5.92
2018-03-31,1.99,$0.06,33.73
2017-12-31,2.02,$-0.03,0.0
2017-09-30,2.5,$-0.12,0.0
2017-06-30,3.1,$-0.47,0.0
2017-03-31,2.81,$-0.52,0.0
2016-12-31,1.92,$-0.39,0.0
2016-09-30,2.2,$0.00,0.0
2016-06-30,1.5,$0.27,5.49
2016-03-31,2.48,$0.45,5.57
2015-12-31,1.99,$0.54,3.7
2015-09-30,0.51,$0.41,1.25
2015-06-30,2.02,$0.41,4.93
2015-03-31,2.28,$0.29,7.81
2014-12-31,2.8,$0.20,13.95
2014-09-30,2.79,$0.27,10.34
2014-06-30,4.43,$-0.17,0.0
2014-03-31,3.65,$-0.29,0.0
2013-12-31,4.75,$-0.11,0.0
2013-09-30,4.33,$-0.27,0.0
2013-06-30,4.89,$-0.35,0.0
2013-03-31,5.38,$-0.02,0.0
2012-12-31,5.07,$0.33,15.48
2012-09-30,3.75,$0.17,21.82
2012-06-30,5.72,$0.13,45.15
2012-03-31,6.87,$-0.06,0.0
2011-12-31,6.81,$-0.06,0.0
2011-09-30,6.9,$1.33,5.18
2011-06-30,14.22,$2.64,5.39
2011-03-31,12.95,$2.79,4.64
2010-12-31,12.45,$2.88,4.31
2010-09-30,11.38,$1.96,5.8
2010-06-30,16.26,$1.70,9.58
2010-03-31,19.98,$2.06,9.69
2009-12-31,17.1,$1.82,9.41
