Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data,Ford Motor Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.01,,5.97
2024-12-31,9.9,$1.68,5.91
2024-09-30,10.42,$1.60,6.52
2024-06-30,12.18,$1.31,9.31
2024-03-31,12.75,$1.22,10.41
2023-12-31,11.4,$1.65,6.89
2023-09-30,11.44,$1.38,8.28
2023-06-30,13.79,$1.31,10.52
2023-03-31,11.34,$0.86,13.15
2022-12-31,9.84,$-0.00,0.0
2022-09-30,9.38,$0.65,14.33
2022-06-30,9.23,$1.48,6.22
2022-03-31,13.94,$0.98,14.22
2021-12-31,17.03,$2.37,7.19
2021-09-30,11.55,$2.72,4.24
2021-06-30,12.12,$3.83,3.17
2021-03-31,9.99,$6.01,1.66
2020-12-31,7.17,$4.66,1.54
2020-09-30,5.43,$4.03,1.35
2020-06-30,4.96,$2.32,2.14
2020-03-31,3.94,$1.45,2.71
2019-12-31,7.46,$2.50,2.98
2019-09-30,7.23,$2.15,3.36
2019-06-30,7.95,$2.22,3.58
2019-03-31,6.72,$1.85,3.62
2018-12-31,5.76,$1.81,3.18
2018-09-30,6.84,$2.26,3.03
2018-06-30,8.07,$2.29,3.52
2018-03-31,7.97,$2.54,3.14
2017-12-31,8.76,$2.76,3.17
2017-09-30,8.29,$2.69,3.09
2017-06-30,7.65,$2.72,2.82
2017-03-31,7.86,$3.21,2.45
2016-12-31,8.06,$3.22,2.51
2016-09-30,7.92,$3.11,2.54
2016-06-30,8.16,$3.41,2.39
2016-03-31,8.66,$2.76,3.14
2015-12-31,8.75,$2.26,3.88
2015-09-30,8.34,$2.21,3.78
2015-06-30,9.14,$1.93,4.72
2015-03-31,9.73,$1.76,5.53
2014-12-31,9.25,$1.78,5.2
2014-09-30,8.75,$1.36,6.44
2014-06-30,10.13,$1.02,9.92
2014-03-31,9.09,$1.43,6.38
2013-12-31,8.92,$0.94,9.48
2013-09-30,9.7,$0.76,12.75
2013-06-30,8.84,$0.75,11.76
2013-03-31,7.46,$0.33,22.51
2012-12-31,7.29,$0.89,8.23
2012-09-30,5.53,$1.09,5.08
2012-06-30,5.35,$1.23,4.34
2012-03-31,6.92,$1.21,5.72
2011-12-31,5.95,$1.34,4.45
2011-09-30,5.35,$1.73,3.09
2011-06-30,7.62,$1.83,4.16
2011-03-31,8.24,$1.78,4.63
2010-12-31,9.28,$1.77,5.25
2010-09-30,6.77,$1.82,3.71
2010-06-30,5.57,$2.22,2.5
2010-03-31,6.95,$2.57,2.7
2009-12-31,5.53,$3.45,1.6
