United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data,United Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,34.71,,10.83
2024-12-31,37.55,$3.21,11.72
2024-09-30,36.77,$3.40,10.82
2024-06-30,31.83,$3.15,10.1
2024-03-31,34.7,$3.18,10.92
2023-12-31,36.03,$3.16,11.39
2023-09-30,26.2,$2.94,8.92
2023-06-30,27.82,$3.24,8.57
2023-03-31,32.65,$4.32,7.55
2022-12-31,37.19,$5.51,6.75
2022-09-30,32.56,$4.94,6.59
2022-06-30,31.62,$5.51,5.74
2022-03-31,31.13,$6.05,5.14
2021-12-31,32.05,$4.60,6.97
2021-09-30,31.81,$5.69,5.59
2021-06-30,31.6,$3.19,9.91
2021-03-31,33.09,$1.46,22.67
2020-12-31,27.55,$1.05,26.3
2020-09-30,18.05,$0.13,140.24
2020-06-30,22.93,$1.66,13.82
2020-03-31,18.88,$0.68,27.78
2019-12-31,31.11,$1.39,22.45
2019-09-30,30.2,$1.59,18.98
2019-06-30,29.33,$2.18,13.46
2019-03-31,28.39,$2.24,12.66
2018-12-31,24.15,$2.84,8.49
2018-09-30,27.93,$3.45,8.11
2018-06-30,27.72,$3.05,9.08
2018-03-31,26.6,$3.17,8.39
2017-12-31,25.98,$2.45,10.62
2017-09-30,27.52,$1.71,16.06
2017-06-30,28.74,$1.71,16.85
2017-03-31,30.71,$2.21,13.9
2016-12-31,33.37,$2.22,15.03
2016-09-30,26.99,$2.29,11.78
2016-06-30,26.65,$2.27,11.72
2016-03-31,25.85,$2.48,10.41
2015-12-31,25.82,$2.45,10.54
2015-09-30,26.3,$2.53,10.38
2015-06-30,27.6,$2.38,11.6
2015-03-31,25.58,$2.33,10.98
2014-12-31,25.27,$2.29,11.02
2014-09-30,20.68,$2.28,9.08
2014-06-30,21.41,$2.35,9.11
2014-03-31,20.07,$2.68,7.5
2013-12-31,20.4,$2.82,7.22
2013-09-30,18.61,$2.84,6.55
2013-06-30,16.8,$2.73,6.15
2013-03-31,16.7,$2.75,6.08
2012-12-31,15.1,$2.51,6.0
2012-09-30,15.26,$2.61,5.85
2012-06-30,15.66,$2.37,6.6
2012-03-31,17.24,$2.20,7.85
2011-12-31,16.71,$2.36,7.08
2011-09-30,11.74,$2.15,5.45
2011-06-30,14.12,$2.00,7.07
2011-03-31,15.09,$2.17,6.95
2010-12-31,16.44,$2.24,7.35
2010-09-30,13.87,$1.62,8.56
2010-06-30,13.17,$2.06,6.39
2010-03-31,14.26,$1.46,9.77
2009-12-31,10.74,$1.12,9.58
