Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data,Tractor Supply Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.84,,36.01
2024-12-31,53.06,$1.44,36.85
2024-09-30,289.82,$1.18,245.46
2024-06-30,267.89,$1.33,202.16
2024-03-31,258.66,$1.66,156.0
2023-12-31,211.56,$1.21,174.14
2023-09-30,198.74,$1.59,125.3
2023-06-30,215.37,$1.19,181.19
2023-03-31,227.84,$0.89,256.86
2022-12-31,217.11,$1.04,208.23
2022-09-30,178.63,$0.35,516.73
2022-06-30,185.45,$0.50,368.7
2022-03-31,222.07,$0.66,337.23
2021-12-31,226.07,$0.88,256.02
2021-09-30,191.54,$1.29,148.02
2021-06-30,175.43,$1.35,130.33
2021-03-31,166.49,$1.92,86.94
2020-12-31,131.77,$1.88,70.19
2020-09-30,133.95,$1.97,68.0
2020-06-30,122.83,$2.10,58.38
2020-03-31,78.56,$1.15,68.35
2019-12-31,86.51,$0.99,87.52
2019-09-30,83.44,$0.87,96.2
2019-06-30,100.01,$0.86,116.54
2019-03-31,89.56,$0.72,125.02
2018-12-31,76.19,$0.68,112.51
2018-09-30,82.7,$0.56,147.52
2018-06-30,69.36,$0.65,106.96
2018-03-31,56.91,$0.77,73.5
2017-12-31,67.22,$0.61,109.86
2017-09-30,56.68,$0.77,73.31
2017-06-30,48.31,$0.59,81.62
2017-03-31,61.18,$0.32,189.41
2016-12-31,67.02,$0.64,105.49
2016-09-30,59.33,$0.38,155.51
2016-06-30,80.1,$0.39,207.23
2016-03-31,79.26,$0.38,207.11
2015-12-31,74.74,$0.32,232.1
2015-09-30,73.52,$0.41,177.83
2015-06-30,78.28,$0.44,179.82
2015-03-31,73.86,$0.45,163.23
2014-12-31,68.31,$0.36,191.36
2014-09-30,53.2,$0.31,173.67
2014-06-30,52.1,$0.33,155.76
2014-03-31,60.77,$0.25,238.89
2013-12-31,66.62,$0.16,407.22
2013-09-30,57.58,$0.17,345.82
2013-06-30,50.27,$0.14,353.27
2013-03-31,44.43,$0.18,250.73
2012-12-31,37.63,$0.31,121.26
2012-09-30,42.01,$0.18,238.98
2012-06-30,35.21,$0.18,196.38
2012-03-31,38.31,$0.15,259.91
2011-12-31,29.63,$0.12,246.96
2011-09-30,26.37,$0.14,190.13
2011-06-30,28.15,$0.18,154.83
2011-03-31,25.15,$0.12,216.02
2010-12-31,20.34,$0.17,120.15
2010-09-30,16.61,$0.15,113.69
2010-06-30,12.74,$0.15,82.9
2010-03-31,12.11,$0.19,63.45
2009-12-31,11.02,$0.19,57.1
