Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data,Charles River Associates Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,177.84,,37.1
2024-12-31,187.2,$4.79,39.05
2024-09-30,174.89,$3.17,55.1
2024-06-30,171.36,$8.16,21.0
2024-03-31,148.47,$8.74,16.98
2023-12-31,97.82,$8.11,12.07
2023-09-30,99.27,$7.86,12.64
2023-06-30,100.16,$4.50,22.27
2023-03-31,105.48,$1.58,66.7
2022-12-31,119.37,$2.90,41.2
2022-09-30,86.27,$2.73,31.57
2022-06-30,86.54,$3.59,24.11
2022-03-31,81.34,$6.34,12.82
2021-12-31,89.8,$9.59,9.37
2021-09-30,95.24,$9.66,9.86
2021-06-30,81.84,$7.07,11.58
2021-03-31,71.14,$8.67,8.2
2020-12-31,48.37,$4.73,10.23
2020-09-30,35.38,$2.07,17.1
2020-06-30,37.11,$0.15,248.08
2020-03-31,31.2,$-0.89,0.0
2019-12-31,50.62,$1.36,37.12
2019-09-30,38.83,$0.94,41.5
2019-06-30,35.29,$1.22,29.01
2019-03-31,46.29,$0.65,70.87
2018-12-31,38.82,$2.42,16.04
2018-09-30,45.63,$1.41,32.33
2018-06-30,46.1,$0.66,70.0
2018-03-31,47.23,$1.60,29.45
2017-12-31,40.46,$4.25,9.52
2017-09-30,36.82,$3.85,9.57
2017-06-30,32.45,$4.14,7.84
2017-03-31,31.43,$3.31,9.49
2016-12-31,32.44,$4.09,7.94
2016-09-30,23.46,$2.74,8.56
2016-06-30,22.25,$1.63,13.68
2016-03-31,17.33,$1.41,12.31
2015-12-31,16.46,$0.27,61.8
2015-09-30,19.04,$-0.09,0.0
2015-06-30,24.59,$1.56,15.73
2015-03-31,27.46,$1.27,21.59
2014-12-31,26.75,$2.62,10.2
2014-09-30,22.44,$4.23,5.31
2014-06-30,20.34,$2.61,7.8
2014-03-31,19.39,$0.96,20.15
2013-12-31,17.47,$1.54,11.37
2013-09-30,16.43,$-0.59,0.0
2013-06-30,16.3,$-1.08,0.0
2013-03-31,19.74,$0.07,297.27
2012-12-31,17.44,$-1.11,0.0
2012-09-30,15.25,$-0.03,0.0
2012-06-30,12.96,$0.38,33.71
2012-03-31,22.25,$0.45,49.59
2011-12-31,17.51,$2.03,8.63
2011-09-30,17.66,$-0.59,0.0
2011-06-30,23.9,$-0.44,0.0
2011-03-31,25.44,$1.17,21.69
2010-12-31,20.74,$1.67,12.45
2010-11-30,19.5,$0.17,115.12
2010-08-31,14.03,$0.02,715.82
2010-06-30,16.62,$-0.99,0.0
2010-05-31,19.61,$-0.75,0.0
2010-02-28,23.47,$2.82,8.31
2009-12-31,23.52,$-2.25,0.0
2009-11-30,21.95,$-0.00,0.0
