Skillz Price to Free Cash Flow Ratio Historical Data,Skillz Price to Free Cash Flow Ratio Historical Data,Skillz Price to Free Cash Flow Ratio Historical Data,Skillz Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.62,,0.0
2024-09-30,5.62,$-0.08,0.0
2024-06-30,7.18,$-0.33,0.0
2024-03-31,6.49,$-3.07,0.0
2023-12-31,6.24,$-4.07,0.0
2023-09-30,5.1,$-4.06,0.0
2023-06-30,9.1,$-4.22,0.0
2023-03-31,11.86,$-5.95,0.0
2022-12-31,10.13,$-8.85,0.0
2022-09-30,20.4,$-12.27,0.0
2022-06-30,24.8,$-13.12,0.0
2022-03-31,60.0,$-11.39,0.0
2021-12-31,148.8,$-9.44,0.0
2021-09-30,196.4,$-7.17,0.0
2021-06-30,434.4,$-6.71,0.0
2021-03-31,380.8,$-6.25,0.0
