Dragonfly Energy Holdings Price to Free Cash Flow Ratio Historical Data,Dragonfly Energy Holdings Price to Free Cash Flow Ratio Historical Data,Dragonfly Energy Holdings Price to Free Cash Flow Ratio Historical Data,Dragonfly Energy Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.31,,0.0
2024-09-30,0.53,$-1.56,0.0
2024-06-30,0.85,$-3.93,0.0
2024-03-31,0.54,$-4.00,0.0
2023-12-31,0.54,$-4.19,0.0
2023-09-30,1.54,$-15.82,0.0
