Viant Technology Price to Free Cash Flow Ratio Historical Data,Viant Technology Price to Free Cash Flow Ratio Historical Data,Viant Technology Price to Free Cash Flow Ratio Historical Data,Viant Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,12.21,,7.34
2024-12-31,18.99,$1.66,11.42
2024-09-30,11.07,$2.37,4.66
2024-06-30,9.87,$1.80,5.5
2024-03-31,10.66,$1.80,5.92
2023-12-31,6.89,$1.59,4.32
2023-09-30,5.6,$0.82,6.8
2023-06-30,4.61,$0.33,13.97
2023-03-31,4.35,$-1.78,0.0
2022-12-31,4.02,$-0.87,0.0
2022-09-30,4.21,$-1.59,0.0
2022-06-30,5.08,$-0.89,0.0
2022-03-31,6.55,$1.30,5.02
2021-12-31,9.71,$1.72,5.64
