Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data,Nelnet Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,114.01,,6.51
2024-12-31,106.81,$17.52,6.1
2024-09-30,112.99,$13.76,8.21
2024-06-30,100.36,$13.79,7.28
2024-03-31,94.18,$12.01,7.84
2023-12-31,87.5,$9.57,9.15
2023-09-30,88.29,$8.20,10.77
2023-06-30,95.1,$8.96,10.61
2023-03-31,90.32,$12.40,7.29
2022-12-31,88.96,$16.58,5.36
2022-09-30,77.42,$19.69,3.93
2022-06-30,83.11,$18.79,4.42
2022-03-31,82.62,$16.95,4.87
2021-12-31,94.68,$10.92,8.67
2021-09-30,76.59,$11.26,6.8
2021-06-30,72.52,$13.98,5.19
2021-03-31,69.91,$11.09,6.3
2020-12-31,68.26,$6.04,11.31
2020-09-30,57.55,$5.66,10.16
2020-06-30,45.46,$2.80,16.24
2020-03-31,43.06,$4.97,8.66
2019-12-31,55.03,$5.15,10.68
2019-09-30,59.9,$3.08,19.42
2019-06-30,55.63,$1.87,29.8
2019-03-31,51.57,$-1.24,0.0
2018-12-31,48.86,$3.57,13.7
2018-09-30,53.37,$3.21,16.64
2018-06-30,54.37,$1.68,32.35
2018-03-31,48.66,$4.20,11.58
2017-12-31,50.71,$3.98,12.75
2017-09-30,46.61,$3.62,12.88
2017-06-30,43.26,$4.49,9.63
2017-03-31,40.22,$3.88,10.35
2016-12-31,46.41,$5.45,8.51
2016-09-30,36.82,$6.66,5.53
2016-06-30,31.59,$7.67,4.12
2016-03-31,35.67,$7.69,4.64
2015-12-31,30.31,$8.23,3.68
2015-09-30,31.14,$8.46,3.68
2015-06-30,38.86,$7.92,4.9
2015-03-31,42.36,$7.90,5.36
2014-12-31,41.38,$7.12,5.81
2014-09-30,38.41,$9.04,4.25
2014-06-30,36.84,$8.04,4.58
2014-03-31,36.28,$8.02,4.52
2013-12-31,37.28,$7.95,4.69
2013-09-30,33.94,$4.88,6.96
2013-06-30,31.77,$5.88,5.4
2013-03-31,29.68,$5.79,5.12
2012-12-31,26.08,$6.11,4.27
2012-09-30,19.93,$7.31,2.73
2012-06-30,19.23,$6.17,3.12
2012-03-31,21.57,$6.61,3.26
2011-12-31,20.29,$6.16,3.29
2011-09-30,15.5,$7.71,2.01
2011-06-30,18.11,$5.85,3.09
2011-03-31,17.84,$5.32,3.35
2010-12-31,19.3,$3.69,5.23
2010-09-30,18.23,$2.38,7.65
2010-06-30,15.31,$4.52,3.39
2010-03-31,14.69,$4.27,3.44
2009-12-31,13.57,$6.51,2.08
